district,Target,SANCTIONED,DISBURSED,OUTSTANDING,NPA,PMEGP NPA Amt. %
Anjaw,4,0,0,3,1,5.32
Changlang,6,2.0949,1.2793999999999999,15,5,14.79
Dibang Valley,5,0,0,0,0,0
East Kameng,8,4.8881,0.6396999999999999,8,5,27.66
East Siang,12,6.2847,0.6396999999999999,25,13,56.14
Kamle,5,0.6983,0.6396999999999999,17,10,46.11
Kra Daadi,5,0.6983,0.6396999999999999,28,15,39.18
Kurung Kumey,5,0,0,46,33,61.05
Lepa Rada,5,2.7932,2.5587999999999997,17,5,17.15
Lohit,7,0.6983,0,8,1,17.99
Longding,5,2.0949,1.2793999999999999,7,1,8.81
Lower Dibang Valley,8,0,0,7,1,4.93
Lower Siang,5,3.4915,2.5587999999999997,11,0,0
Lower Subansiri,20,25.1388,7.6764,68,37,36.88
Namsai,10,3.4915,2.5587999999999997,48,9,26.91
Pakke Kessang,4,0.6983,0.6396999999999999,2,0,0
Papum Pare,60,132.677,111.9475,428,147,15.35
Shi Yomi,5,0,0,13,10,59.5
Siang,5,0.6983,0.6396999999999999,16,8,22.23
Tawang,10,7.6813,4.4779,23,2,8.75
Tirap,6,2.0949,1.9191,11,5,31.11
Upper Siang,5,0.6983,0.6396999999999999,11,3,21.48
Upper Subansiri,10,23.742199999999997,3.8382,38,26,66.39
West Kameng,10,26.5354,10.8749,79,9,1.19
West Siang,10,2.7932,2.5587999999999997,32,10,21.79
