District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,3125,7875,667,4248,10857,2094,26,7399
Changlang,20077,48772,3264,56798,75563,25861,2453,79328
Dibang Valley,1978,3161,454,2662,4189,1264,49,4689
East Kameng,4678,28878,976,7866,37459,3508,624,13168
East Siang,24329,137636,5743,66150,172135,26232,2927,93406
Kamle,1088,3874,141,1819,5358,480,6,2913
Kra Daadi,1769,6168,232,2254,8850,656,18,4041
Kurung Kumey,1795,5672,376,2440,8178,1092,106,4341
Lepa Rada,3256,12073,894,4920,16624,2356,190,8366
Lohit,16183,28083,3412,27609,38310,12194,621,44413
Longding,3313,16744,772,11739,26291,6563,207,15259
Lower Dibang Valley,10130,24645,3068,17419,32561,8914,1052,28601
Lower Siang,11198,83584,3726,40179,95254,19485,2214,53591
Lower Subansiri,9679,43661,2210,14923,57378,6829,569,25171
Namsai,21932,34331,7273,46488,47182,22116,5198,73618
Pakke Kessang,303,2636,64,418,3820,180,15,736
Papum Pare,52443,227686,15771,93443,284478,38165,7342,153228
Shi Yomi,465,3434,104,1394,4556,731,32,1891
Siang,1750,13168,1177,4076,17757,2695,203,6029
Tawang,12587,31942,2695,18405,41228,6972,591,31583
Tirap,5075,19208,1078,9214,28885,4141,199,14488
Upper Siang,5060,19134,1057,8031,25957,3790,124,13215
Upper Subansiri,10891,44769,3018,18317,58729,11649,325,29533
West Kameng,21516,53191,5142,34660,70045,15357,1559,57735
West Siang,8721,43227,1808,15235,57869,7223,817,24773
