district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,300,3,0,3,306
Changlang,790,482,0,7,1279
Dibang Valley,257,50,0,0,307
East Kameng,196,1681,0,3,1880
East Siang,948,943,0,48,1939
Kamle,209,34,0,1,244
Kra Daadi,267,59,0,81,407
Kurung Kumey,152,334,0,3,489
Lepa Rada,268,639,0,1,908
Lohit,1703,845,0,2,2550
Longding,616,62,0,2,680
Lower Dibang Valley,646,257,0,3,906
Lower Siang,287,109,0,0,396
Lower Subansiri,1002,1886,1,10,2899
Namsai,1172,445,0,585,2202
Pakke Kessang,319,27,0,2,348
Papum Pare,4649,3271,2,405,8327
Shi Yomi,1,78,0,0,79
Siang,110,106,0,1,217
Tawang,336,171,0,10,517
Tirap,500,1289,0,1,1790
Upper Siang,130,236,0,2,368
Upper Subansiri,704,959,0,15,1678
West Kameng,945,914,1,15,1875
West Siang,580,388,3,7,978
