district,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS
Anjaw,0,0,1,0,0,0,1
Changlang,0,17,15,0,0,11,43
Dibang Valley,0,0,3,0,0,3,6
East Kameng,0,1,26,0,0,58,85
East Siang,0,22,77,0,0,19,118
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,0,0,0,0,1
Kurung Kumey,0,0,15,0,0,15,30
Lepa Rada,0,0,39,0,0,10,49
Lohit,0,12,22,0,0,13,47
Longding,0,11,0,0,0,0,11
Lower Dibang Valley,0,3,7,0,0,17,27
Lower Siang,0,7,27,0,0,0,34
Lower Subansiri,0,15,78,0,0,79,172
Namsai,0,13,26,0,0,18,57
Pakke Kessang,0,0,17,0,0,0,17
Papum Pare,0,190,588,149,0,363,1290
Shi Yomi,0,1,2,0,0,20,23
Siang,0,0,4,0,0,0,4
Tawang,0,3,18,0,0,30,51
Tirap,0,11,17,0,0,8,36
Upper Siang,0,2,4,0,0,81,87
Upper Subansiri,0,12,56,0,0,45,113
West Kameng,0,13,46,0,0,14,73
West Siang,0,6,71,0,0,21,98
