District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priorityrityrityrity Sector Total,Loans to weaker
Anjaw,0,0,1,0,0,0,1,80
Changlang,0,7,3,0,0,0,10,312
Dibang Valley,0,0,0,0,0,0,0,130
East Kameng,0,0,3,0,0,0,3,110
East Siang,0,11,18,0,0,0,29,379
Kamle,0,0,0,0,0,0,0,194
Kra Daadi,0,1,0,0,0,0,1,220
Kurung Kumey,0,0,0,0,0,0,0,95
Lepa Rada,0,0,2,0,0,0,2,64
Lohit,0,4,6,0,0,0,10,725
Longding,0,5,0,0,0,0,5,377
Lower Dibang Valley,0,1,1,0,0,0,2,364
Lower Siang,0,4,3,0,0,0,7,183
Lower Subansiri,0,4,9,0,0,0,13,294
Namsai,0,4,4,0,0,0,8,718
Pakke Kessang,0,0,0,0,0,0,0,150
Papum Pare,0,60,61,0,0,18,139,2261
Shi Yomi,0,0,0,0,0,0,0,4
Siang,0,0,1,0,0,0,1,80
Tawang,0,1,4,0,0,0,5,220
Tirap,0,4,0,0,0,0,4,117
Upper Siang,0,0,0,0,0,0,0,40
Upper Subansiri,0,4,2,0,0,0,6,125
West Kameng,0,4,4,0,0,0,8,683
West Siang,0,1,12,0,0,0,13,193
