District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,5,5
Changlang,0,0,0,6,74,80
Dibang Valley,0,0,0,0,40,40
East Kameng,0,0,0,9,103,112
East Siang,0,0,0,32,167,199
Kamle,0,0,0,0,11,11
Kra Daadi,0,0,0,0,40,40
Kurung Kumey,0,0,0,17,83,100
Lepa Rada,0,0,0,2,13,15
Lohit,0,0,0,9,48,57
Longding,1,0,0,4,37,42
Lower Dibang Valley,0,0,0,14,52,66
Lower Siang,0,0,0,1,15,16
Lower Subansiri,0,0,0,51,277,328
Namsai,0,0,0,61,103,164
Pakke Kessang,0,0,0,0,14,14
Papum Pare,0,0,5,538,1143,1686
Shi Yomi,0,0,0,14,23,37
Siang,0,0,0,0,7,7
Tawang,0,0,0,57,29,86
Tirap,0,0,0,9,34,43
Upper Siang,0,0,0,4,14,18
Upper Subansiri,0,0,0,7,146,153
West Kameng,1,0,0,25,67,93
West Siang,1,0,0,19,79,99
