District,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Pct
Anjaw,76,0,76,2,5,0,0
Changlang,781,0,784,5,26,13,12.99
Dibang Valley,24,0,25,0,0,0,0
East Kameng,183,0,208,2,37,0,0
East Siang,34,4,41,6,32,3,0.75
Kamle,36,0,36,0,0,0,0
Kra Daadi,200,0,200,15,101,0,0
Kurung Kumey,56,0,77,10,18,0,0
Lepa Rada,77,0,78,0,24,2,0.69
Lohit,105,14,114,18,35,1,2.16
Longding,158,0,158,0,35,35,100
Lower Dibang Valley,12,7,14,5,44,0,0
Lower Siang,12,0,44,1,13,0,0
Lower Subansiri,37,20,40,22,147,3,1.41
Namsai,22,1,23,13,117,29,13.7
Pakke Kessang,91,0,91,0,19,2,12.57
Papum Pare,84,24,154,56,267,19,3.05
Shi Yomi,4,0,6,0,17,0,0
Siang,78,6,79,15,49,0,0
Tawang,165,0,180,5,31,2,9.49
Tirap,582,0,594,2,3,0,0
Upper Siang,39,0,39,2,74,0,0
Upper Subansiri,146,13,146,23,79,5,13.25
West Kameng,249,0,274,34,55,5,14.22
West Siang,19,12,26,0,46,5,1.04
