District,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1684,0,736,948,1684,49,197.67,1491,1137,778
Changlang,46689,0,20915,25769,46684,2836,1804.54,45166,29319,14337
Dibang Valley,502,0,254,248,502,31,222.32,393,152,292
East Kameng,3770,10492,6436,7823,14259,1044,804.87,10692,9045,5056
East Siang,35895,20877,25799,31028,56827,8558,2884.58,51147,30255,17994
Kamle,1423,0,541,882,1423,18,143.13,1278,319,473
Kra Daadi,2852,0,1064,1786,2850,30,273.66,3540,1493,766
Kurung Kumey,3897,0,1445,2449,3894,565,353.24,4022,2116,1793
Lepa Rada,3200,0,1296,1892,3188,275,304.33,2688,1902,1040
Lohit,4153,7239,4847,6543,11390,1007,599.53,10584,6252,5562
Longding,10814,0,3673,7140,10813,344,496.32,10502,6735,4763
Lower Dibang Valley,3085,10824,6347,7392,13739,966,743.58,12659,4739,6585
Lower Siang,27040,0,12694,14344,27038,5151,719.18,16639,12950,5224
Lower Subansiri,6407,5513,5218,6698,11916,1674,1198.03,11037,5944,4071
Namsai,15071,15733,14145,16236,30381,2153,1407.59,27641,16596,18832
Pakke Kessang,382,0,200,182,382,10,18.13,256,60,169
Papum Pare,42734,33519,33849,42369,76218,13840,6888.66,57312,37613,31939
Shi Yomi,1611,0,755,855,1610,128,280.11,2099,1208,770
Siang,4949,0,2654,2292,4946,115,490.74,3754,3264,1639
Tawang,3799,1142,2046,2893,4939,1596,692.75,4283,2443,2824
Tirap,15177,0,6549,8622,15171,723,869.1,15872,8497,7257
Upper Siang,4405,0,1890,2515,4405,198,448.51,2272,1655,3032
Upper Subansiri,7855,13205,9288,11758,21046,2134,1963.85,21246,12421,9649
West Kameng,15687,100,7020,8385,15405,2971,1291.53,13052,6872,6902
West Siang,6364,8528,7816,9105,16921,5658,1353.27,12627,6344,8213
