District,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,1,0,0,0,0,48,131,180
Changlang,2,0,0,0,1,362,1234,1599
Dibang Valley,2,0,0,0,0,14,98,114
East Kameng,3,0,0,0,25,173,453,654
East Siang,2,4,0,1,46,663,2438,3154
Kamle,10,0,0,0,0,21,76,107
Kra Daadi,1,0,0,0,2,67,208,278
Kurung Kumey,1,0,0,0,0,51,220,272
Lepa Rada,1,0,0,0,21,110,326,458
Lohit,3,0,0,1,2,377,939,1322
Longding,8,0,0,0,5,138,581,732
Lower Dibang Valley,15,0,0,0,2,313,1036,1366
Lower Siang,2,0,0,0,49,88,407,546
Lower Subansiri,9,0,0,0,20,351,907,1287
Namsai,6,0,0,0,7,283,1162,1458
Pakke Kessang,4,0,0,0,0,31,104,139
Papum Pare,12,15,0,8,490,2863,8539,11927
Shi Yomi,0,0,0,0,0,7,56,63
Siang,0,0,0,0,0,64,151,215
Tawang,2,0,0,0,4,299,884,1189
Tirap,2,0,0,0,3,314,733,1052
Upper Siang,3,0,0,0,0,79,336,418
Upper Subansiri,4,0,0,0,60,347,692,1103
West Kameng,4,0,0,0,39,409,1947,2399
West Siang,4,2,0,0,52,357,1047,1462
