District,Number of Rural Branches,No of camps conducted during the Quarter
Anjaw,2,0
Changlang,7,0
Dibang Valley,2,0
East Kameng,2,5
East Siang,6,6
Kamle,1,2
Kra Daadi,1,7
Kurung Kumey,4,0
Lepa Rada,0,0
Lohit,3,0
Longding,3,0
Lower Dibang Valley,3,6
Lower Siang,0,0
Lower Subansiri,6,11
Namsai,3,0
Pakke Kessang,1,1
Papum Pare,13,26
Shi Yomi,1,0
Siang,4,1
Tawang,6,3
Tirap,4,0
Upper Siang,7,6
Upper Subansiri,5,1
West Kameng,14,3
West Siang,11,0
