district,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,301,1,312,0,5,77,1,0,0,697
Changlang,825,51,601,0,9,165,169,1,36,1857
Dibang Valley,242,0,247,0,0,70,2,0,0,561
East Kameng,198,1,185,0,2,51,12,0,2,451
East Siang,984,14,966,12,25,124,307,80,599,3111
Kamle,243,3,150,0,0,70,8,0,2,476
Kra Daadi,304,1,318,0,17,103,92,0,88,923
Kurung Kumey,136,0,0,1,14,42,150,0,2,345
Lepa Rada,268,1,199,0,19,21,2,0,8,518
Lohit,1667,13,1593,0,40,574,6,0,16,3909
Longding,618,3,7,0,1,82,601,1,40,1353
Lower Dibang Valley,753,54,431,0,33,193,178,0,4,1646
Lower Siang,333,0,197,0,13,28,78,0,18,667
Lower Subansiri,879,17,440,3,106,127,413,58,91,2134
Namsai,1289,36,1107,0,40,197,728,0,28,3425
Pakke Kessang,145,3,297,0,1,78,14,0,18,556
Papum Pare,5287,180,7281,81,204,1644,4702,246,4559,24184
Shi Yomi,0,0,12,0,0,0,7,0,0,19
Siang,140,0,164,0,49,9,1,0,6,369
Tawang,434,10,695,2,18,56,724,107,14,2060
Tirap,465,1,253,0,2,124,221,1,12,1079
Upper Siang,182,1,134,0,3,23,0,0,37,380
Upper Subansiri,637,8,470,0,70,63,12,0,92,1352
West Kameng,1022,11,1317,15,44,182,1207,214,52,4064
West Siang,612,6,983,12,25,149,86,79,21,1973
