District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,2,0,0,100,563,665,5
Changlang,4,0,9,908,3480,4401,80
Dibang Valley,6,0,1,104,520,631,40
East Kameng,4,0,187,527,2145,2863,112
East Siang,93,1,129,2051,7844,10118,199
Kamle,15,0,0,48,206,269,11
Kra Daadi,8,0,3,119,626,756,40
Kurung Kumey,2,0,0,104,914,1020,100
Lepa Rada,1,0,74,356,1250,1681,15
Lohit,7,1,13,819,2665,3505,57
Longding,14,0,12,347,1738,2111,42
Lower Dibang Valley,15,0,3,657,3105,3780,66
Lower Siang,2,0,116,228,1264,1610,16
Lower Subansiri,16,0,78,976,3717,4787,328
Namsai,18,0,17,741,2677,3453,164
Pakke Kessang,4,0,5,63,377,449,14
Papum Pare,438,4,1713,9606,29059,40820,1686
Shi Yomi,0,0,2,25,209,236,37
Siang,0,0,0,163,441,604,7
Tawang,12,0,24,645,2918,3599,86
Tirap,3,0,9,711,2623,3346,43
Upper Siang,11,0,0,254,1201,1466,18
Upper Subansiri,9,0,180,702,2928,3819,153
West Kameng,19,0,74,1151,4906,6150,93
West Siang,4,0,198,921,3812,4935,99
