district,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt.%
Anjaw,6,67,12,85,7.56
Changlang,836,290,32,1158,6.05
Dibang Valley,17,98,4,119,0
East Kameng,150,100,62,312,38.69
East Siang,279,461,166,906,10.48
Kamle,76,130,20,226,13.6
Kra Daadi,403,136,36,575,21.97
Kurung Kumey,62,139,23,224,39.67
Lepa Rada,61,102,19,182,13.63
Lohit,204,270,65,539,28.89
Longding,42,157,26,225,4.16
Lower Dibang Valley,252,334,30,616,13.04
Lower Siang,43,149,24,216,6.81
Lower Subansiri,396,457,151,1004,20.4
Namsai,208,505,107,820,30.23
Pakke Kessang,84,216,8,308,4.72
Papum Pare,1981,2320,1409,5710,24.45
Shi Yomi,0,7,6,13,43.17
Siang,12,84,11,107,5.5
Tawang,133,482,137,752,6.88
Tirap,209,133,24,366,7.09
Upper Siang,101,139,8,248,6.52
Upper Subansiri,177,255,101,533,19.33
West Kameng,395,906,287,1588,7.07
West Siang,273,250,105,628,8.6
