District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,500234,0,5,21,7912
Changlang,0,5940337,0,77,5972,141632
Dibang Valley,0,263899,0,1,3150,9968
East Kameng,1857,2170160,189,801,23163,67699
East Siang,1506882,6747543,1380,5539783,112146,207313
Kamle,0,420388,0,1,2,10608
Kra Daadi,0,542646,0,0,65,22129
Kurung Kumey,0,395013,0,3,18404,16915
Lepa Rada,0,1369430,0,2,3972,36700
Lohit,7661,2985378,15,1351,2445,72888
Longding,0,1840823,0,1,144,35356
Lower Dibang Valley,465862,2421301,23,5024438,44903,79005
Lower Siang,1,1603456,0,1,13,47607
Lower Subansiri,385927,3989250,141,79447,64810,130885
Namsai,1176,2889084,928,616,8377,113174
Pakke Kessang,0,465793,0,0,141,16807
Papum Pare,4959753,21725844,8816,27609000,765978,1159231
Shi Yomi,0,216027,0,0,2512,9390
Siang,0,744814,0,0,9,19236
Tawang,448385,1721548,296,2829089,59076,75440
Tirap,0,2463359,0,34,1547,76182
Upper Siang,0,1185908,0,1,9047,28313
Upper Subansiri,957,2580538,0,498,14708,73924
West Kameng,275616,5127236,552,16411,76777,229517
West Siang,382246,3800355,376,37122,94030,121256
