District,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,34,389785,190766,93347
Baksa,36,588976,353875,178674
Barpeta,94,1778388,936378,570634
Biswanath,61,905275,434740,229493
Bongaigaon,68,1005739,486206,259285
Cachar,175,2154573,1095780,537230
Charaideo,37,555732,292800,134940
Chirang,39,611223,311269,195215
Darrang,70,1231743,649595,294155
Dhemaji,52,1029334,477812,266734
Dhubri,89,1974334,1117216,544179
Dibrugarh,188,1816666,752001,446090
Dima Hasao,34,269551,127172,64636
Goalpara,70,1260623,681270,342199
Golaghat,127,1534584,723690,313733
Hailakandi,48,797118,457649,229254
Hojai,66,1081286,595309,271195
Jorhat,144,1328211,631082,300801
Kamrup Metro,181,2288559,1034444,626687
Karbi Anglong,63,784471,377079,225156
Kokrajhar,60,1102265,604524,407627
Lakhimpur,92,1373200,663745,285365
Majuli,17,280033,176053,90429
Morigaon,70,1187703,708277,333337
Nagaon,156,2608017,1528120,766351
Nalbari,87,1187642,611386,367713
Sivasagar,105,1036725,474448,205251
Sonitpur,136,1634051,852036,605537
South Salmara,17,332464,213106,149681
Tamulpur,21,469235,251115,148702
Tinsukia,152,1462343,644390,376173
Udalguri,56,1161866,590295,348977
West Karbi Anglong,21,237074,121396,60254
