district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Bajali,34,"19,234","23,251.11","7,517","11,394.27"
Baksa,36,"9,590","15,807.35","3,815","7,066.47"
Barpeta,93,"62,618","77,417.36","32,704","41,059.77"
Biswanath,61,"32,868","35,362.43","15,307","19,152.45"
Bongaigaon,68,"44,768","63,972.37","22,765","31,000.47"
Cachar,172,"138,560","128,322.55","79,022","74,235.46"
Charaideo,37,"18,206","24,628.31","8,869","10,773.33"
Chirang,39,"18,129","19,645.96","9,581","10,273.86"
Darrang,70,"52,226","53,218.48","23,630","29,877.45"
Dhemaji,51,"32,993","52,348.19","13,959","25,601.77"
Dhubri,88,"53,691","46,636.66","27,422","27,080.94"
Dibrugarh,186,"104,447","165,646.78","56,658","78,368.26"
Dima Hasao,33,"7,408","21,511.71","2,973","9,248.25"
Goalpara,70,"39,396","43,467.82","18,936","22,023.36"
Golaghat,126,"77,550","85,178.31","40,338","44,963.76"
Hailakandi,48,"22,756","23,195.64","13,254","12,507.58"
Hojai,65,"34,996","35,770.70","17,767","19,817.14"
Jorhat,143,"81,838","130,477.99","40,022","58,466.21"
Kamrup,179,"126,146","147,388.79","62,766","74,853.92"
Kamrup Metro,471,"197,916","663,232.66","98,765","239,677.66"
Karbi Anglong,62,"33,975","65,809.47","13,108","24,197.76"
Kokrajhar,59,"40,998","49,844.58","23,281","27,699.37"
Lakhimpur,91,"67,842","94,104.33","27,913","48,453.11"
Majuli,16,"6,384","9,759.06","2,280","4,257.88"
Morigaon,70,"39,798","43,074.91","18,850","23,705.71"
Nagaon,156,"117,978","152,089.18","57,158","79,325.63"
Nalbari,85,"54,279","72,183.05","23,615","34,442.40"
Sivasagar,104,"64,442","101,653.50","31,177","46,452.69"
Sonitpur,135,"78,381","115,393.15","37,534","54,163.14"
South Salmara,16,"1,131","2,379.77",343,800.89
Sribhumi,95,"53,499","43,433.56","31,425","26,612.53"
Tamulpur,21,"8,125","9,986.52","3,435","4,688.75"
Tinsukia,151,"64,745","104,182.24","31,437","48,477.61"
Udalguri,56,"28,321","39,788.64","11,498","17,583.56"
West Karbi Anglong,21,"6,930","12,737.31","2,153","4,512.38"
