District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt
Bajali,34,755,625.37,5,27.02,0,0,14,26.03,9,2.01,783,680.43
Baksa,36,1278,1178.80,10,38.35,0,0,240,309.20,34,11.81,1562,1538.16
Barpeta,93,4419,5567.67,51,398.70,3,6.61,112,204.48,69,35.98,4654,6213.44
Biswanath,61,2270,1713.30,13,14.58,0,0,22,23.01,196,134.05,2501,1884.94
Bongaigaon,68,2450,2444.97,43,1983.04,0,0,129,179.04,43,13.71,2665,4620.76
Cachar,172,6269,9418.94,303,2818.10,5,4.73,106,163.51,296,200.46,6979,12605.74
Charaideo,37,1055,1297.74,34,133.06,0,0,39,73.89,11,5.55,1139,1510.24
Chirang,39,2094,1639.55,9,10.67,0,0,410,423.64,16,5.66,2529,2079.52
Darrang,70,3544,4158.28,66,658.65,2,1.27,103,140.74,240,98.88,3955,5057.82
Dhemaji,51,2238,1971.56,51,312.54,2,6.93,52,70.99,241,130.84,2584,2492.86
Dhubri,88,4472,3095.84,36,96.85,0,0,181,234.95,55,19.91,4744,3447.55
Dibrugarh,186,7354,12000.33,248,2754.87,8,34.93,164,287.73,217,211.56,7991,15289.42
Dima Hasao,33,701,602.63,4,2.42,0,0,12,22.42,2,2.11,719,629.58
Goalpara,70,3170,3260.00,45,71.63,0,0,150,206.84,43,26.00,3408,3564.47
Golaghat,126,3605,3749.78,105,1043.71,0,0,72,117.95,223,116.23,4005,5027.67
Hailakandi,48,1916,1898.26,63,187.50,1,0.28,116,179.20,60,51.26,2156,2316.50
Hojai,65,2917,3719.96,162,754.16,2,2.18,11,53.17,38,18.93,3130,4548.40
Jorhat,143,4218,9199.60,128,5436.24,15,1193.34,63,102.38,253,146.67,4677,16078.23
Kamrup Metro,179,5406,6348.96,154,435.64,2,1.95,267,522.64,204,89.65,6033,7398.84
Karbi Anglong,62,1809,1569.38,36,50.05,0,0,106,48.29,40,8.44,1991,1676.16
Kokrajhar,59,2872,3360.77,10,188.70,0,0,499,580.35,51,32.19,3432,4162.01
Lakhimpur,91,5555,4859.69,401,508.41,19,9.11,58,76.67,827,455.40,6860,5909.28
Majuli,16,352,356.85,27,37.30,1,16.06,5,4.82,53,28.18,438,443.21
Morigaon,70,3627,4464.77,375,874.70,4,46.22,114,190.70,153,86.09,4273,5662.48
Nagaon,156,7947,8515.37,227,1361.86,3,6.16,210,311.31,172,170.20,8559,10364.90
Nalbari,85,3673,3855.72,77,317.67,1,0.28,230,371.17,59,27.00,4040,4571.84
Sivasagar,104,3538,5008.92,53,725.90,1,1.21,76,158.23,154,84.51,3822,5978.77
Sonitpur,135,5447,7773.54,108,563.31,1,7.8,187,336.68,148,128.28,5891,8809.61
South Salmara,16,818,1018.28,,,0,0,102,192.83,0,0.00,920,1211.11
Tamulpur,21,781,660.78,3,13.76,0,0,71,82.77,18,6.37,873,763.68
Tinsukia,151,5728,8655.86,209,926.41,5,416.22,201,317.80,82,87.74,6225,10404.03
Udalguri,56,4148,5032.48,17,208.82,0,0,340,605.34,92,39.37,4597,5886.01
West Karbi Anglong,21,349,99.46,2,4.66,0,0,1,1.48,0,0.00,352,105.60
