District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bajali,34,3945,12980.52,91,4782.61,9,309.12,99,357.68,4144,18429.93
Baksa,36,5126,10540.83,118,3441.29,5,182.49,156,46.03,5405,14210.64
Barpeta,93,15626,58877.84,660,20746.88,35,3187.28,190,70.80,16511,82882.80
Biswanath,61,8557,27134.64,133,3858.36,9,301.51,592,357.74,9291,31652.25
Bongaigaon,68,12452,42888.35,439,20352.41,32,4311.78,243,151.10,13166,67703.64
Cachar,172,27443,95978.19,1277,45594.71,161,20361.60,598,323.91,29479,162258.41
Charaideo,37,5379,16101.76,145,1771.68,8,49.48,78,74.23,5610,17997.15
Chirang,39,6505,15045.35,107,3452.37,5,1251.35,125,21.22,6742,19770.29
Darrang,70,11728,43526.16,413,14870.42,17,278.48,426,147.62,12584,58822.68
Dhemaji,51,10079,29000.29,273,5796.67,14,178.41,1351,692.51,11717,35667.88
Dhubri,88,13857,37716.02,449,14219.68,18,2510.29,97,45.69,14421,54491.68
Dibrugarh,186,26591,131383.83,1428,61036.52,192,17888.75,756,612.90,28967,210922.00
Dima Hasao,33,4512,8404.71,38,748.55,6,65.18,5,5.04,4561,9223.48
Goalpara,70,11713,34613.00,290,9676.12,20,314.42,241,91.76,12264,44695.30
Golaghat,126,17367,49560.86,625,18518.59,26,804.97,529,297.58,18547,69182.00
Hailakandi,48,7201,16495.05,167,3572.61,7,595.27,119,99.84,7494,20762.77
Hojai,65,10908,41366.57,442,10577.81,10,1007.54,138,100.96,11498,53052.88
Jorhat,143,18500,91869.71,1035,48039.44,123,15044.91,701,430.07,20359,155384.13
Kamrup Metro,179,21433,82224.32,901,27975.69,118,4739.96,741,291.06,23193,115231.03
Karbi Anglong,62,10552,21962.56,207,4069.21,4,5.70,104,33.65,10867,26071.12
Kokrajhar,59,9746,26007.68,206,7952.87,7,331.31,413,372.60,10372,34664.46
Lakhimpur,91,17848,51253.01,874,17745.65,75,6529.24,2772,1223.70,21569,76751.60
Majuli,16,1925,4964.60,121,685.62,8,23.51,310,118.83,2364,5792.56
Morigaon,70,11330,26894.92,572,4435.03,23,283.04,543,315.80,12468,31928.79
Nagaon,156,30116,102842.61,1183,41518.97,169,12934.95,463,880.12,31931,158176.65
Nalbari,85,13602,43717.78,361,14816.23,32,376.66,223,149.59,14218,59060.26
Sivasagar,104,16156,64259.90,769,28898.60,36,6028.07,567,285.42,17528,99471.99
Sonitpur,135,20866,90366.88,772,37997.69,86,6721.22,643,486.80,22367,135572.59
South Salmara,16,1952,5261.25,35,558.92,-,-,-,-,1987,5820.17
Tamulpur,21,3558,6465.02,43,559.77,1,38.82,164,71.15,3766,7134.76
Tinsukia,151,23858,127106.23,1258,56184.72,90,9581.93,465,406.34,25671,193279.22
Udalguri,56,9961,23729.82,144,3227.43,2,25.84,279,129.66,10386,27112.75
West Karbi Anglong,21,1890,2072.33,3,23.64,5,61.25,0,0,1898,2157.22
