District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,34,722,939.78,"2,038","1,664.72"
Baksa,36,241,290.00,703,600.10
Barpeta,93,"3,094","1,315.18","7,128","2,402.02"
Biswanath,61,"1,346",590.69,"3,062","1,107.13"
Bongaigaon,68,"3,994","2,413.09","10,397","3,533.34"
Cachar,172,"7,345","3,320.61","16,758","5,179.41"
Charaideo,37,"1,858",710.32,"5,408","1,616.74"
Chirang,39,"1,419",841.72,"3,507","1,289.41"
Darrang,70,"4,429","2,283.37","10,104","3,226.50"
Dhemaji,51,"2,841","1,144.30","4,832","1,352.67"
Dhubri,88,478,906.10,"2,357","1,876.98"
Dibrugarh,186,"2,295",937.74,"7,287","2,355.22"
Dima Hasao,33,183,437.30,690,751.29
Goalpara,70,"3,076","1,712.04","7,984","3,264.98"
Golaghat,126,"1,788","1,813.59","6,635","3,429.54"
Hailakandi,48,128,222.20,836,624.19
Hojai,65,"1,943","1,169.33","3,388","1,541.65"
Jorhat,143,706,"1,524.20","5,791","3,020.46"
Kamrup Metro,179,"9,075","5,474.09","23,267","7,210.71"
Karbi Anglong,62,"3,298","3,439.42","7,512","5,695.58"
Kokrajhar,59,"3,255","2,023.73","8,628","3,233.65"
Lakhimpur,91,"2,336","1,082.72","5,460","1,981.59"
Majuli,16,"1,263",444.76,"2,708",564.85
Morigaon,70,138,246.81,"1,192",686.25
Nagaon,156,"3,588","2,235.08","9,625","3,490.97"
Nalbari,85,"3,637","2,278.13","9,538","3,281.68"
Sivasagar,104,"1,030",570.50,"3,591","1,587.81"
Sonitpur,135,"5,180","2,563.66","12,199","3,527.79"
South Salmara,16,-,-,78,69.36
Tamulpur,21,55,123.62,620,445.89
Tinsukia,151,"3,909","1,528.00","10,147","2,773.74"
Udalguri,56,"2,581","1,175.21","6,703","2,138.01"
West Karbi Anglong,21,159,331.70,"1,163",940.95
