District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bajali,34,"8,320","10,106.03","13,435","11,673.94",9,28.24,348,714.20,"22,112","22,522.41"
Baksa,36,"10,158","10,597.19","7,114","10,507.86",2,8.24,319,"1,505.44","17,593","22,618.73"
Barpeta,93,"39,551","43,998.79","33,446","35,437.04",20,"1,044.73","2,135","8,535.48","75,152","89,016.04"
Biswanath,61,"23,508","22,403.65","16,838","18,944.60",17,"1,488.44","1,133","9,185.44","41,496","52,022.13"
Bongaigaon,68,"15,152","22,744.61","18,864","20,990.40",8,422.99,"1,380","3,671.60","35,404","47,829.60"
Cachar,172,"49,183","36,355.23","38,580","29,993.34",40,"3,726.42","4,197","10,722.37","92,000","80,797.36"
Charaideo,37,"11,381","9,805.76","10,054","12,968.29",8,182.85,386,"3,053.19","21,829","26,010.09"
Chirang,39,"11,314","11,553.02","8,066","8,702.18",9,360.77,623,525.46,"20,012","21,141.43"
Darrang,70,"28,544","29,968.87","32,696","28,703.18",17,345.32,"1,530","8,593.24","62,787","67,610.61"
Dhemaji,51,"25,419","24,904.71","15,702","19,327.19",18,109.09,975,"2,046.64","42,114","46,387.63"
Dhubri,88,"32,137","30,454.97","22,170","22,281.96",12,112.26,"1,335","3,482.61","55,654","56,331.80"
Dibrugarh,186,"58,141","53,610.19","48,643","35,168.87",34,"5,795.32","2,568","37,628.83","109,386","132,203.21"
Dima Hasao,33,"1,464",944.64,"2,068","4,221.72",2,60.34,236,515.75,"3,770","5,742.45"
Goalpara,70,"26,441","26,229.81","14,532","17,149.37",25,486.25,"1,405","4,671.16","42,403","48,536.59"
Golaghat,126,"51,653","41,468.33","40,377","40,416.61",26,263.98,"2,507","16,975.61","94,563","99,124.53"
Hailakandi,48,"17,147","11,920.31","8,540","9,055.71",10,116.86,"1,454","1,246.11","27,151","22,338.99"
Hojai,65,"21,670","19,194.52","12,464","12,959.52",26,540.00,"1,758","4,259.72","35,918","36,953.76"
Jorhat,143,"41,960","29,785.90","34,519","31,829.71",54,"5,088.72","2,407","35,585.09","78,940","102,289.42"
Kamrup Metro,179,"62,690","59,917.25","70,271","47,592.30",47,"1,070.52","3,528","9,901.65","136,536","118,481.72"
Karbi Anglong,62,"28,676","18,252.73","16,591","30,560.51",2,35.14,167,757.33,"45,436","49,605.71"
Kokrajhar,59,"26,735","32,155.07","19,489","19,788.49",23,643.79,701,"1,183.07","46,948","53,770.42"
Lakhimpur,91,"57,148","48,026.08","35,476","30,131.93",84,109.96,"1,970","6,244.08","94,678","84,512.05"
Majuli,16,"7,002","6,386.01","4,609","3,835.18",6,17.02,82,144.20,"11,699","10,382.41"
Morigaon,70,"38,417","30,884.48","21,306","22,274.61",26,479.64,"1,210","2,476.25","60,959","56,114.98"
Nagaon,156,"73,719","63,455.39","63,538","51,475.91",59,797.84,"3,115","9,576.79","140,431","125,305.93"
Nalbari,85,"26,719","24,879.30","29,609","27,030.65",25,376.47,"1,682","5,726.32","58,035","58,012.74"
Sivasagar,104,"25,628","19,540.19","28,057","25,210.17",18,386.49,"1,744","13,222.20","55,447","58,359.05"
Sonitpur,135,"26,756","31,460.66","37,592","33,686.70",39,"1,006.41","2,177","11,155.45","66,564","77,309.22"
South Salmara,16,"2,520","1,883.24",968,"2,148.13",2,27.99,5,61.07,"3,495","4,120.43"
Tamulpur,21,"5,933","6,717.00","5,788","7,999.99",2,4.72,140,83.95,"11,863","14,805.66"
Tinsukia,151,"38,807","42,418.42","28,187","29,885.80",45,"2,008.90","2,132","31,993.60","69,171","106,306.72"
Udalguri,56,"31,519","28,854.03","23,240","17,888.88",4,456.86,667,873.11,"55,430","48,072.88"
West Karbi Anglong,21,"10,230","5,584.20","4,780","9,500.07",1,0,7,22.57,"15,018","15,106.84"
