District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bajali,34,"1,543","9,040.81","1,063","10,246.36",115,"1,694.40",5,36.29,0,0,5,36.29
Baksa,36,573,"5,912.67",477,"4,554.73",857,"10,708.64",-,-,0,0,-,-
Barpeta,93,"4,558","22,959.47","2,266","21,992.81",702,"8,026.99",12,154.28,0,0,12,154.28
Biswanath,61,"1,408","10,679.79","1,338","10,839.27",695,"7,582.80",12,70.26,0,0,12,70.26
Bongaigaon,68,"1,792","16,019.48","2,742","30,533.68",356,"4,606.53",48,495.08,0,0,48,846.44
Cachar,172,"3,749","31,108.73","3,443","37,057.16",536,"7,037.06",68,723.10,1,2.15,71,823.27
Charaideo,37,"3,089","3,110.59",386,"3,625.94",143,"1,646.68",0,0,0,0,0,0
Chirang,39,591,"5,365.45",816,"6,453.59",637,"8,319.79",2,15.97,0,0,2,15.97
Darrang,70,"1,685","16,047.88","1,939","15,463.38",391,"5,261.95",11,114.67,0,0,10,101.01
Dhemaji,51,"1,627","14,254.65","2,178","13,593.22",776,"9,844.59",18,146.32,0,0,18,146.32
Dhubri,88,"1,968","16,386.71","2,105","14,643.85",521,"6,074.34",44,329.00,0,0,44,329.00
Dibrugarh,186,"4,630","41,119.49","5,903","71,386.83","1,985","23,442.85",96,8237.18,0,0,97,"8,179.62"
Dima Hasao,33,374,"4,002.79",209,"2,212.07",75,670.05,1,6.12,0,0,1,6.12
Goalpara,70,"1,186","10,951.02","1,163","7,590.03",288,"3,240.26",8,55.04,0,0,8,55.04
Golaghat,126,"2,345","20,278.28","3,099","28,366.78",581,"8,422.87",6,37.06,0,0,6,37.06
Hailakandi,48,927,"6,782.07",725,"4,878.66",26,144.90,11,79.24,0,0,11,79.24
Hojai,65,902,"7,208.28",875,"8,336.21",98,931.26,23,213.95,0,0,23,213.95
Jorhat,143,"4,755","43,626.12","7,926","75,849.89","1,032","12,730.12",73,"1,020.56",4,87.41,85,"1,120.51"
Kamrup Metro,179,"6,958","40,444.67","5,288","56,284.29","2,732","37,658.29",19,196.22,0,0,19,196.22
Karbi Anglong,62,"2,011","20,088.94",727,"4,517.82","1,070","10,717.97",1,15.33,0,0,2,29.55
Kokrajhar,59,"1,154","11,571.13","1,627","18,932.18",559,"8,560.10",3,25.23,0,0,4,125.39
Lakhimpur,91,"3,288","28,419.31","3,224","32,764.53",870,"11,599.45",19,179.58,0,0,19,179.58
Majuli,16,336,"2,685.98",241,"2,230.94",190,"2,502.19",-,-,0,0,-,-
Morigaon,70,"1,779","14,919.36",988,"8,872.31",629,"5,393.75",39,192.54,0,0,47,272.72
Nagaon,156,"3,857","34,094.80","4,616","49,705.99","1,051","12,597.27",36,359.86,0,0,36,359.86
Nalbari,85,"2,521","24,675.80","3,254","30,392.71",802,"10,762.65",11,138.17,0,0,13,165.17
Sivasagar,104,"5,528","23,505.47","3,207","29,603.05",663,"7,614.82",34,437.45,0,0,34,437.45
Sonitpur,135,"3,816","34,542.71","5,024","60,919.96","1,051","14,087.38",76,720.72,2,35,81,794.65
South Salmara,16,273,"2,436.86",270,570.01,138,"1,334.17",-,-,0,0,-,-
Tamulpur,21,391,"3,678.81",298,"1,298.79",134,"1,198.09",0,0,0,0,0,0
Tinsukia,151,"2,864","25,016.87","3,281","42,691.56",605,"6,701.83",45,310.59,1,19.6,50,340.20
Udalguri,56,"1,763","16,394.94","2,109","8,147.41",544,"6,992.87",3,14.18,0,0,3,14.18
West Karbi Anglong,21,539,"5,333.64",86,151.11,543,"5,434.65",0,0,0,0,0,0
