District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,34,1969.85,83,0.08,0,0.00,407,198.33,0,0.00
Baksa,36,1324.54,164,59.58,0,0.00,272,183.51,0,0.00
Barpeta,93,9265.41,1779,1902.31,0,0.00,2655,2488.24,0,0.00
Biswanath,61,3003.36,64,30.89,0,0.00,656,454.90,0,0.00
Bongaigaon,68,2241.91,831,840.02,14,0.15,670,455.76,0,0.00
Cachar,172,14614.27,2533,1753.18,22,0.22,3870,3429.76,0,0.00
Charaideo,37,2156.98,20,11.32,0,0.00,1757,976.31,0,0.00
Chirang,39,2107.19,466,497.1,0,0.00,1295,1183.76,0,0.00
Darrang,70,4592.25,279,214.31,0,0.00,912,723.44,0,0.00
Dhemaji,51,7739.55,322,261.91,4,0.04,622,456.06,0,0.00
Dhubri,88,5640.38,536,536.16,0,0.00,999,928.66,0,0.00
Dibrugarh,186,19118.17,7024,7743.85,0,0.00,3116,2745.05,0,0.00
Dima Hasao,33,172.78,25,16.75,0,0.00,52,80.78,0,0.00
Goalpara,70,3848.50,326,256.95,0,0.00,1081,760.96,0,0.00
Golaghat,126,10710.00,1304,1315.18,0,0.00,1159,806.86,0,0.00
Hailakandi,48,3550.26,543,389.47,0,0.00,324,481.48,0,0.00
Hojai,65,6982.18,106,56.95,0,0.00,427,328.45,0,0.00
Jorhat,143,10569.21,1435,1187.16,0,0.00,1154,879.53,0,0.00
Kamrup Metro,179,8023.39,834,582.67,0,0.00,1755,1039.58,0,0.00
Karbi Anglong,62,2982.24,519,586.47,0,0.00,803,1316.14,0,0.00
Kokrajhar,59,3600.58,579,609.16,0,0.00,690,448.78,0,0.00
Lakhimpur,91,16324.48,2789,2892.56,0,0.00,2053,1695.06,0,0.00
Majuli,16,1139.83,2,2.26,0,0.00,198,167.68,0,0.00
Morigaon,70,11600.24,1003,841.08,0,0.00,1399,922.67,0,0.00
Nagaon,156,21148.72,3899,3996.66,0,0.00,4021,4115.55,0,0.00
Nalbari,85,3743.95,382,326.05,0,0.00,1276,879.29,0,0.00
Sivasagar,104,8842.50,2032,1414.03,0,0.00,2877,1685.71,0,0.00
Sonitpur,135,7883.32,983,978.82,0,0.00,833,714.22,0,0.00
South Salmara,16,207.29,0,0,0,0.00,79,54.91,0,0.00
Tamulpur,21,551.48,11,4.95,0,0.00,0,0.00,0,0.00
Tinsukia,151,16517.70,2523,2610.54,0,0.00,1797,1634.40,0,0.00
Udalguri,56,4176.23,788,878.88,0,0.00,195,191.88,0,0.00
West Karbi Anglong,21,1686.17,8,0.01,0,0.00,509,655.38,0,0.00
