District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Bajali,34,4,79.00,0,0.00,0,0.00,4,79.00,11,179.09,2,14.45,8.07
Baksa,36,2,50.00,0,0.00,0,0.00,2,50.00,8,127.54,1,9.63,7.55
Barpeta,93,21,375.05,6,76.63,1,9.99,28,461.67,52,842.52,8,122.62,14.55
Biswanath,61,3,25.07,1,19.00,0,0.00,4,44.07,14,157.65,3,26.74,16.96
Bongaigaon,68,9,120.10,2,19.80,5,95.55,16,235.45,61,837.58,12,102.10,12.19
Cachar,172,25,449.82,5,60.93,3,28.00,33,538.75,87,1193.61,9,74.67,6.26
Charaideo,37,3,38.20,1,10.10,2,20.20,6,68.50,14,219.69,1,27.84,12.67
Chirang,39,5,93.67,2,68.00,2,5.00,9,166.67,24,272.71,0,0.01,0.00
Darrang,70,13,196.54,2,20.00,0,0.00,15,216.54,36,452.72,13,116.78,25.80
Dhemaji,51,3,79.25,0,0.00,2,39.25,5,118.50,15,243.68,0,0.06,0.02
Dhubri,88,10,216.76,2,23.67,1,13.25,13,253.68,31,504.26,1,10.41,2.06
Dibrugarh,186,32,516.26,7,148.56,2,20.00,41,684.82,151,1946.75,24,318.33,16.35
Dima Hasao,33,6,68.50,0,0.00,4,66.16,10,134.66,11,124.32,1,7.07,5.69
Goalpara,70,10,115.60,22,128.50,13,16.69,45,260.79,33,381.14,13,65.35,17.15
Golaghat,126,16,334.40,5,71.21,3,90.00,24,495.61,55,901.59,5,57.32,6.36
Hailakandi,48,7,162.98,2,25.00,0,0.00,9,187.98,15,176.36,1,11.01,6.24
Hojai,65,26,93.74,23,306.94,56,10.75,105,411.43,70,908.45,25,124.71,13.73
Jorhat,143,28,655.99,7,165.00,6,60.35,41,881.34,106,2180.83,12,216.59,9.93
Kamrup Metro,179,29,392.77,33,196.60,20,49.95,82,639.32,126,1542.68,8,106.27,6.89
Karbi Anglong,62,8,137.02,6,124.10,10,174.54,24,435.66,56,979.02,7,81.24,8.30
Kokrajhar,59,17,387.26,39,239.20,38,108.83,94,735.29,34,728.84,2,11.04,1.51
Lakhimpur,91,7,92.30,1,14.40,6,50.36,14,157.06,52,664.05,9,67.10,10.10
Majuli,16,8,61.73,17,122.00,5,5.17,30,188.90,11,115.11,0,0.00,0.00
Morigaon,70,9,73.70,13,94.44,27,39.13,49,207.27,39,498.80,13,77.72,15.58
Nagaon,156,38,619.38,6,134.29,1,43.00,45,796.67,117,1653.15,18,154.54,9.35
Nalbari,85,24,284.64,22,179.00,20,36.85,66,500.49,46,601.45,6,95.69,15.91
Sivasagar,104,25,401.15,3,17.20,10,34.94,38,453.29,72,1144.06,7,67.66,5.91
Sonitpur,135,28,674.15,15,121.18,45,56.99,88,852.32,109,1656.07,15,128.44,7.76
South Salmara,16,1,20.00,0,0.00,0,0.00,1,20.00,2,67.63,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,1,65.00,1,65.00,3,139.28,0,0.00,0.00
Tinsukia,151,17,344.53,10,163.44,3,45.16,30,553.13,118,2182.92,10,88.35,4.05
Udalguri,56,31,71.00,36,243.10,73,22.45,140,336.55,14,315.41,4,103.00,32.66
West Karbi Anglong,21,2,35.53,0,0.00,2,25.60,4,61.13,8,101.65,0,0.00,0.00
