district,Total Branch,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.,Personal Loan Amt.,Other NPS No.,Other NPS Amt.,Tot NPS O/S No.,Tot NPS O/S Amt.,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.,NPS NPA Amt.%
Bajali,34,42,74.77,2,65.25,"1,078","10,606.21","2,936","5,377.34","20,390","55,071.85","24,448","71,195.42","2,075",735.29,1.03
Baksa,36,13,13.38,6,121.52,470,"4,514.91","1,547","3,251.94","9,844","29,474.00","11,880","37,375.75",943,"1,181.10",3.16
Barpeta,93,129,272.19,20,701.04,"2,389","22,404.16","11,658","19,462.47","67,008","146,084.71","81,204","188,924.57","10,206","4,754.51",2.52
Biswanath,61,16,26.37,9,230.93,"1,337","10,820.31","4,210","6,410.92","25,267","57,754.09","30,839","75,242.62","3,883","1,024.23",1.36
Bongaigaon,68,112,105.53,39,463.93,"2,898","32,059.55","10,297","21,757.85","45,730","126,908.30","59,076","181,295.16","4,494","3,001.80",1.66
Cachar,172,54,51.56,36,797.60,"3,659","39,167.01","17,592","30,937.60","127,283","249,209.65","148,624","320,163.42","15,197","8,040.70",2.51
Charaideo,37,1,0.00,2,59.90,389,"3,661.80","1,971","3,045.19","11,825","32,712.33","14,188","39,479.22",954,449.32,1.14
Chirang,39,163,0.00,2,11.24,816,"6,453.59","2,246","3,273.71","14,643","41,954.64","17,870","51,693.18","1,431",621.12,1.20
Darrang,70,33,69.79,19,430.34,"2,167","16,018.17","7,494","12,137.18","42,913","86,155.29","52,626","114,810.77","8,823","2,927.00",2.55
Dhemaji,51,11,46.05,6,166.81,"2,203","14,127.76","5,497","12,154.81","29,200","85,459.45","36,917","111,954.88","1,997","1,378.91",1.23
Dhubri,88,103,36.04,5,126.09,"2,125","14,911.31","7,028","11,146.44","58,466","109,581.51","67,727","135,801.39","11,920","3,348.70",2.47
Dibrugarh,186,214,649.70,64,1571.43,"6,106","74,616.83","25,717","60,508.00","111,332","420,726.64","143,433","558,072.60","7,988","6,471.91",1.16
Dima Hasao,33,0,0.00,3,110.99,220,"2,436.63","3,780","13,052.40","10,213","37,700.79","14,216","53,300.81",339,441.81,0.83
Goalpara,70,12,35.04,16,308.48,"1,270","8,201.05","5,999","8,933.85","37,641","91,366.28","44,938","108,844.70","4,361","2,864.91",2.63
Golaghat,126,66,934.56,23,404.98,"3,224","28,546.51","9,341","20,257.50","66,601","212,676.81","79,255","262,820.36","5,549","2,776.12",1.06
Hailakandi,48,419,390.42,0,5.81,726,"4,924.11","3,660","5,788.62","18,089","43,348.64","22,894","54,457.60","2,811","1,553.19",2.85
Hojai,65,8,36.77,4,101.82,887,"8,680.99","7,603","11,384.34","38,742","73,709.23","47,244","93,913.15","4,632","2,067.07",2.20
Jorhat,143,63,301.50,69,1552.59,"8,061","78,408.79","17,518","37,008.63","90,189","232,497.82","115,900","349,769.33","6,324","5,218.11",1.49
Kamrup,179,104,1600.89,35,747.64,"5,331","57,253.27","15,592","27,984.29","93,684","233,905.18","114,746","321,491.27","13,291","7,059.01",2.20
Kamrup Metro,471,101,56358.04,504,14575.68,"32,791","595,332.83","106,926","226,527.23","444,394","1,576,670.24","584,716","2,469,464.02","28,944","150,719.24",6.10
Karbi Anglong,62,15,21.23,4,136.23,736,"4,758.79","7,149","23,290.73","27,374","87,198.38","35,278","115,405.36",967,"1,377.02",1.19
Kokrajhar,59,671,34.07,12,326.40,"1,625","18,946.91","6,130","11,842.29","38,588","110,738.75","47,026","141,888.42","2,180","2,011.11",1.42
Lakhimpur,91,23,90.75,10,272.56,"3,209","32,564.86","10,225","24,364.75","58,055","148,381.27","71,522","205,674.19","7,647","3,528.81",1.72
Majuli,16,0,0.00,1,25.99,240,"2,225.71","2,003","5,836.35","4,915","14,755.71","7,159","22,843.76",285,250.50,1.10
Morigaon,70,123,208.85,15,102.51,994,"8,886.94","5,942","17,079.55","26,607","51,021.99","33,681","77,299.84","4,314","2,042.36",2.64
Nagaon,156,148,384.75,36,934.32,"4,683","50,944.88","12,901","31,038.67","102,646","244,290.85","120,414","327,593.47","14,468","7,309.17",2.23
Nalbari,85,27,65.69,8,258.93,"3,267","30,842.20","8,140","22,099.45","46,128","110,217.08","57,570","163,483.35","6,907","3,592.31",2.20
Sivasagar,104,110,951.50,27,706.41,"3,345","30,590.28","12,313","25,729.47","73,166","187,542.33","88,961","245,519.99","5,378","3,805.24",1.55
Sonitpur,135,86,625.21,39,1157.91,"5,392","63,970.41","15,096","31,221.53","77,142","206,719.41","97,755","303,694.47","7,797","5,013.92",1.65
South Salmara,16,0,0.00,0,0.00,270,570.02,"1,648","1,377.83","4,352","10,858.28","6,270","12,806.13",449,517.60,4.04
Sribhumi,95,3,2.16,10,219.89,767,"8,700.45","7,276","12,982.15","40,860","82,203.68","48,916","104,108.33","5,806","2,973.11",2.86
Tamulpur,21,0,0.00,0,0.00,304,"1,391.35","1,219","1,716.15","7,600","19,794.36","9,123","22,901.86",937,420.30,1.84
Tinsukia,151,58,743.41,22,485.37,"3,556","43,762.44","15,271","31,340.44","69,806","189,113.30","88,713","265,444.96","5,688","5,080.29",1.91
Udalguri,56,3,11.72,7,190.29,"2,109","8,147.41","3,657","4,636.10","22,980","69,111.28","28,756","82,096.80","1,817","1,649.33",2.01
West Karbi Anglong,21,1,1.59,0,0.00,86,151.11,"1,147","4,291.88","4,399","15,031.11","5,633","19,475.69",136,119.04,0.61
