District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt.%
Bajali,34,"3,775",739.85,"1,177",188.41,"6,546","6,001.58",528,416.41,518,"2,876.15",22,83.47,"10,839","9,617.58","1,727",688.29,7.16
Baksa,36,"1,497",501.79,299,101.86,"4,715","5,010.82",606,774.99,361,"2,031.69",21,99.26,"6,573","7,544.30",926,976.11,12.94
Barpeta,93,"23,089","5,086.25","6,170",930.65,"24,711","24,723.01","2,077","2,698.98","2,371","11,829.79",144,683.31,"50,171","41,639.05","8,391","4,312.94",10.36
Biswanath,61,"9,073","1,965.63","2,318",381.85,"12,202","10,264.79",825,704.39,745,"4,103.57",42,179.05,"22,020","16,333.99","3,185","1,265.29",7.75
Bongaigaon,68,"16,105","3,202.00","3,270",325.16,"12,549","11,934.81",833,944.51,"1,831","7,824.20",77,397.68,"30,485","22,961.01","4,180","1,667.35",7.26
Cachar,172,"55,114","11,488.37","10,117","1,722.68","62,637","50,498.68","3,801","4,180.20","4,010","17,787.75",269,"1,473.81","121,761","79,774.80","14,187","7,376.69",9.25
Charaideo,37,"7,381","1,420.15","1,036",163.05,"6,610","6,700.95",468,588.64,666,"3,533.94",27,138.68,"14,657","11,655.04","1,531",890.37,7.64
Chirang,39,"7,508","1,502.80","1,402",195.77,"8,160","7,657.41",880,870.71,419,"2,207.84",34,173.81,"16,087","11,368.05","2,316","1,240.29",10.91
Darrang,70,"19,158","4,044.72","6,386",847.58,"17,612","17,345.62","1,475","1,766.63","1,475","8,161.24",202,"1,072.52","38,245","29,551.58","8,063","3,686.73",12.48
Dhemaji,51,"9,182","2,061.49","2,003",351.47,"9,310","10,236.69","1,108","1,247.42","1,100","5,980.68",94,385.33,"19,592","18,278.86","3,205","1,984.22",10.86
Dhubri,88,"20,200","3,964.00","6,572",887.31,"22,789","21,827.37","2,091","1,720.00","1,391","7,328.44",119,441.54,"44,380","33,119.81","8,782","3,048.85",9.21
Dibrugarh,186,"28,100","5,760.41","7,379","1,075.38","34,005","32,133.02","2,654","3,369.31","3,132","17,581.96",384,"2,017.25","65,237","55,475.39","10,417","6,461.94",11.65
Dima Hasao,33,"1,375",362.88,325,72.90,"1,649","2,324.25",197,240.62,280,"1,648.50",15,91.33,"3,304","4,335.63",537,404.85,9.34
Goalpara,70,"15,177","3,488.13","4,025",723.80,"15,039","14,605.46","1,460","1,483.79","1,447","7,564.44",72,365.52,"31,663","25,658.03","5,557","2,573.11",10.03
Golaghat,126,"19,904","4,257.84","3,654",550.08,"29,648","23,896.23","1,954","1,739.00","2,169","9,596.22",131,543.98,"51,721","37,750.29","5,739","2,833.06",7.50
Hailakandi,48,"7,845","1,841.18","1,292",266.65,"12,200","10,727.98","1,208","1,182.72","1,073","4,257.14",68,272.10,"21,118","16,826.30","2,568","1,721.47",10.23
Hojai,65,"12,038","2,621.79","2,832",451.50,"15,149","14,882.57","1,566","1,663.74","1,918","10,097.01",248,"1,135.64","29,105","27,601.37","4,646","3,250.88",11.78
Jorhat,143,"19,124","3,735.05","4,945",479.89,"27,451","23,926.87","2,212","2,197.27","2,295","10,954.61",193,902.44,"48,870","38,616.53","7,350","3,579.60",9.27
Kamrup Metro,179,"41,213","8,383.49","12,160","1,477.03","44,714","38,027.56","3,210","3,020.26","3,073","15,191.36",252,"1,162.61","89,000","61,602.41","15,622","5,659.90",9.19
Karbi Anglong,62,"6,186","1,612.01",778,137.64,"7,064","7,723.11",430,458.76,605,"3,865.08",43,208.48,"13,855","13,200.20","1,251",804.88,6.10
Kokrajhar,59,"15,964","3,471.40","1,341",212.25,"13,921","12,495.58","1,101","1,266.14",848,"4,652.16",39,191.83,"30,733","20,619.14","2,481","1,670.22",8.10
Lakhimpur,91,"16,001","3,414.70","6,146","1,046.36","20,702","20,813.53","2,465","2,650.18","2,265","10,449.81",228,"1,102.12","38,968","34,678.04","8,839","4,798.66",13.84
Majuli,16,"2,962",605.18,396,44.06,"1,166","1,668.52",132,159.19,481,"1,785.30",10,32.32,"4,609","4,059.00",538,235.57,5.80
