District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Bajali,34,0,0,118,301.92,1552,9166.94,0,0,168,217.74,2863,10139.99,4701,19826.59
Baksa,36,0,0,71,193.49,574,5859.93,0,0,86,82.02,1065,2611.67,1796,8747.11
Barpeta,93,0,0,479,1378.68,2476,23016.62,0,0,1203,1279.15,14585,6425.99,18743,32100.44
Biswanath,61,0,0,254,723.43,1410,10706.55,0,0,350,509.62,7951,6930.73,9965,18870.33
Bongaigaon,68,0,0,199,872.94,1845,16706.43,2,87.82,278,319.35,10579,4801.25,12903,22787.79
Cachar,172,0,0,1415,3688.77,3838,30542.41,0,0,109,140.57,52248,21695.15,57610,56066.90
Charaideo,37,0,0,98,260.56,393,3130.32,0,0,56,69.04,4224,3973.98,4771,7433.90
Chirang,39,0,0,76,256.80,591,5365.45,0,0,328,352.81,5344,2317.65,6339,8292.71
Darrang,70,0,0,435,1376.68,1726,15219.23,0,0,161,206.65,8583,4876.96,10905,21679.52
Dhemaji,51,0,0,222,663.66,1632,14278.00,0,0,301,496.02,6171,3489.53,8326,18927.21
Dhubri,88,0,0,222,741.95,1967,16280.82,1,0.37,1016,1351.79,15315,7197.03,18521,25571.96
Dibrugarh,186,0,0,1005,3145.90,4646,39810.50,0,0,121,172.95,17310,8771.98,23082,51901.33
Dima Hasao,33,0,0,47,131.21,354,3311.80,0,0,35,42.02,61,741.06,497,4226.09
Goalpara,70,0,0,174,651.02,1170,10767.61,1,0,858,1074.34,12293,7450.31,14496,19943.28
Golaghat,126,0,0,467,1857.41,2382,19006.40,0,0,172,258.93,17535,8760.44,20556,29883.18
Hailakandi,48,0,0,107,250.10,878,6186.98,0,0,56,58.9,8561,3619.71,9602,10115.69
Hojai,65,0,0,181,633.07,901,7078.70,0,-,868,1076.08,7744,6051.87,9694,14839.72
Jorhat,143,0,0,960,3416.45,4722,42738.41,1,32.74,345,556.34,14430,6829.11,20458,53573.05
Kamrup Metro,179,0,0,1732,6376.32,6897,38914.17,0,-,88,120.98,25659,15630.89,34376,61042.36
Karbi Anglong,62,0,0,115,287.31,2017,20056.41,0,0,169,262.25,3791,1739.46,6092,22345.43
Kokrajhar,59,0,0,166,502.41,1127,10939.28,0,0,354,513.58,10534,4508.27,12181,16463.54
Lakhimpur,91,0,0,456,1437.13,3302,28100.93,2,0.1,1072,1601.92,8992,12531.68,13824,43671.76
Majuli,16,0,0,38,72.76,337,2691.21,0,0,16,21.75,899,774.42,1290,3560.14
Morigaon,70,0,0,187,617.61,1768,14535.86,0,0,276,361.58,6885,4561.74,9116,20076.79
Nagaon,156,0,0,437,1421.50,3808,33287.18,4,229.08,926,1299.26,20292,48202.00,25467,84439.02
Nalbari,85,0,0,454,1423.26,2512,24519.67,1,15.84,134,176.22,11290,4935.24,14391,31070.23
Sivasagar,104,0,0,416,1374.90,2776,21897.45,1,2.07,132,203.26,10830,11710.41,14155,35188.09
Sonitpur,135,0,0,644,2375.80,3848,33559.74,0,-,93,124.59,18493,16501.48,23078,52561.61
South Salmara,16,0,0,24,76.18,273,2436.86,0,-,87,116.63,405,712.96,789,3342.63
Tamulpur,21,0,0,102,270.62,391,3678.80,0,0,54,68.10,1333,733.05,1880,4750.57
Tinsukia,151,0,0,676,2359.37,2806,22977.33,0,-,105,152.32,13935,12994.43,17522,38483.45
Udalguri,56,0,0,395,1145.71,1763,16394.88,0,0,37,47.65,7545,4092.66,9740,21680.90
West Karbi Anglong,21,0,0,18,52.92,539,5333.65,0,0,229,327.83,4,3.11,790,5717.51
