District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA NO,SUI NPA AMT
Bajali,34,"3,452","9,791.32",13,13.40,23,20.96,202,608.66,9,4.88,277,980.15,86,146.94,"3,107","9,042.77",76,64.42,11,179.09,2,14.45
Baksa,36,"4,790","13,926.85",41,98.92,210,431.05,70,279.43,14,8.83,555,905.21,331,443.87,"4,553","12,938.58",206,141.72,8,127.54,1,9.63
Barpeta,93,"11,232","29,806.49",254,358.30,389,276.61,"1,179","2,873.19",212,54.00,"1,343","3,165.70",556,858.76,"13,249","34,052.17",780,491.90,52,842.52,8,122.62
Biswanath,61,"9,522","26,965.23",179,416.70,118,127.12,115,262.50,2,0.79,295,815.46,100,136.24,"9,362","24,499.00",769,284.05,14,157.65,3,26.74
Bongaigaon,68,"6,482","19,054.78",228,434.44,77,83.24,131,239.34,18,10.09,663,"21,004.37",280,414.57,"6,813","19,083.18",151,133.34,61,837.58,12,102.10
Cachar,172,"9,572","23,511.30",381,872.26,147,107.03,601,"1,216.99",64,30.06,"1,103","3,215.46",402,622.30,"10,252","23,457.35",498,208.97,87,"1,193.61",9,74.67
Charaideo,37,"4,558","13,208.56",63,90.56,66,44.59,24,37.03,6,4.6,170,426.25,90,175.99,"4,886","13,948.70",108,69.61,14,219.69,1,27.84
Chirang,39,"4,195","11,950.89",168,378.62,105,72.27,84,147.87,5,3,"1,019","1,291.50",759,770.51,"3,893","10,790.06",173,93.89,24,272.71,0,0.01
Darrang,70,"8,232","22,834.60",251,449.92,103,95.70,354,780.51,28,21.21,568,"1,123.39",263,374.01,"10,110","24,449.03",521,457.16,36,452.72,13,116.78
Dhemaji,51,"8,462","23,888.80",171,304.86,106,39.19,251,588.20,41,58.44,946,"2,455.85",368,651.54,"9,673","26,949.76",423,176.98,15,243.68,-,0.06
Dhubri,88,"10,481","23,503.03",332,487.64,412,238.21,501,580.81,184,119.22,"1,442","2,421.23",677,734.25,"12,083","26,010.86",833,412.82,31,504.26,1,10.41
Dibrugarh,186,"10,210","31,624.79",360,901.96,264,187.39,759,"2,131.43",92,88.27,"1,335","3,957.66",546,"1,026.36","10,826","32,194.23",410,265.11,151,"1,946.75",24,318.33
Dima Hasao,33,"1,410","3,663.97",86,204.54,20,29.92,86,166.44,17,17.19,237,534.91,71,117.42,"1,596","4,061.25",54,42.03,11,124.32,1,7.07
Goalpara,70,"7,990","24,174.81",239,590.49,105,58.59,189,236.82,102,83.9,630,"1,051.69",414,496.71,"7,647","20,800.58",672,327.34,33,381.14,13,65.35
Golaghat,126,"12,175","39,630.81",247,559.14,123,143.10,250,627.96,20,9.76,653,"1,520.42",340,589.69,"12,660","40,322.36",211,198.06,55,901.59,5,57.32
Hailakandi,48,"4,036","8,433.32",337,454.74,284,235.25,420,745.19,72,45.90,660,"1,803.22",235,370.61,"4,247","8,287.72",542,319.00,15,176.36,1,11.01
Hojai,65,"6,224","15,271.96",177,280.10,65,42.59,372,712.23,61,32.59,370,"1,078.53",103,199.30,"6,608","15,708.45",182,120.75,70,908.45,25,124.71
Jorhat,143,"9,021","27,200.34",162,280.03,52,61.05,927,"2,518.67",19,11.57,500,"1,345.58",205,297.61,"9,504","27,944.17",97,75.97,106,"2,180.83",12,216.59
