District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Bajali,34,"2,207",821.39,"3,294","4,282.46",219,"1,665.41","5,720","6,769.26"
Baksa,36,"1,055",395.12,"1,957","2,627.67",165,"1,045.12","3,177","4,067.91"
Barpeta,93,"14,812","5,410.37","13,421","16,428.16",848,"5,869.52","29,081","27,708.05"
Biswanath,61,"6,271","2,227.26","7,008","7,669.19",294,"2,197.34","13,573","12,093.79"
Bongaigaon,68,"8,932","3,316.62","7,120","8,795.64",553,"3,655.20","16,605","15,767.46"
Cachar,172,"35,805","12,332.49","38,145","41,121.50","1,267","8,672.95","75,217","62,126.94"
Charaideo,37,"4,299","1,305.47","3,204","4,047.89",291,"1,842.86","7,794","7,196.22"
Chirang,39,"4,768","1,697.72","4,428","5,457.60",175,"1,201.69","9,371","8,357.01"
Darrang,70,"9,874","3,584.29","10,162","12,848.24",606,"4,523.23","20,642","20,955.76"
Dhemaji,51,"5,313","1,966.39","4,693","6,261.30",423,"2,923.09","10,429","11,150.78"
Dhubri,88,"13,570","5,064.01","13,769","16,861.72",644,"4,486.64","27,983","26,412.37"
Dibrugarh,186,"19,101","6,132.80","17,928","21,229.24","1,215","8,819.25","38,244","36,181.29"
Dima Hasao,33,741,251.26,456,972.22,119,863.11,"1,316","2,086.59"
Goalpara,70,"8,606","3,120.18","7,590","9,056.68",565,"3,902.52","16,761","16,079.38"
Golaghat,126,"13,843","4,594.78","15,700","17,038.02",809,"5,144.97","30,352","26,777.77"
Hailakandi,48,"5,949","2,082.19","6,540","7,149.09",439,"2,864.82","12,928","12,096.10"
Hojai,65,"8,042","2,859.50","8,351","10,889.70",784,"5,665.51","17,177","19,414.71"
Jorhat,143,"12,868","4,268.30","15,024","16,773.42",902,"6,018.92","28,794","27,060.64"
Kamrup Metro,179,"21,430","7,948.05","26,387","30,786.85","1,222","8,234.85","49,039","46,969.75"
Karbi Anglong,62,"4,260","1,597.55","3,057","4,595.18",334,"2,538.37","7,651","8,731.10"
Kokrajhar,59,"10,458","3,961.75","8,923","9,529.95",379,"2,755.55","19,760","16,247.25"
Lakhimpur,91,"8,461","3,132.01","10,622","14,127.28",905,"6,210.02","19,988","23,469.31"
Majuli,16,"1,307",454.39,390,750.31,200,"1,152.50","1,897","2,357.20"
Morigaon,70,"6,487","2,467.22","9,436","11,749.78",560,"3,968.46","16,483","18,185.46"
Nagaon,156,"20,598","7,627.55","27,054","32,503.10","1,611","10,897.21","49,263","51,027.86"
Nalbari,85,"9,157","3,399.70","9,683","11,532.05",526,"3,864.34","19,366","18,796.09"
Sivasagar,104,"9,716","3,160.87","12,008","14,412.77",846,"5,740.39","22,570","23,314.03"
Sonitpur,135,"14,152","5,459.55","17,549","20,372.94","1,032","7,089.77","32,733","32,922.26"
South Salmara,16,55,25.26,317,747.84,49,356.65,421,"1,129.75"
Tamulpur,21,"1,165",416.59,"2,207","2,632.13",59,430.00,"3,431","3,478.72"
Tinsukia,151,"11,803","3,877.50","10,497","15,464.54","1,373","9,762.29","23,673","29,104.33"
Udalguri,56,"4,814","1,813.32","3,629","4,820.82",233,"1,765.41","8,676","8,399.55"
West Karbi Anglong,21,330,82.89,212,440.24,41,337.49,583,860.62
