District,Total No. of Camps (FY),No. of rural branches in district,No. of Camps Conducted
Bajali,0,19,0
Baksa,93,35,28
Barpeta,92,46,0
Biswanath,149,36,42
Bongaigaon,0,28,0
Cachar,27,97,0
Chirang,83,25,31
Charaideo,191,23,64
Darrang,72,39,25
Dhemaji,76,25,76
Dhubri,90,41,24
Dibrugarh,180,92,0
Dima Hasao,81,12,22
Goalpara,1,41,1
Golaghat,86,75,25
Hailakandi,804,19,234
Hojai,129,22,20
Jorhat,453,57,90
Kamrup Metro,62,138,22
Karbi Anglong,76,36,7
Kokrajhar,122,35,82
Lakhimpur,412,53,136
Majuli,551,16,0
Morigaon,60,41,16
Nagaon,232,92,48
Nalbari,100,58,24
Sivasagar,806,59,162
Sonitpur,48,61,12
South Salmara,24,12,24
Tamulpur,63,21,37
Tinsukia,79,60,16
Udalguri,315,34,108
West Karbi Anglong,89,21,57
