district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisatio n No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,34,215,215.19,-,-,434,467.18,"3,505","2,202.35",316,168.24,332,239.68,0,0,0,0,786,"1,758.69","5,588","5,051.33"
Baksa,36,145,115.60,3,1.85,155,231.21,147,193.11,468,166.17,161,75.68,0,0,0,0,"1,212","3,804.14","2,291","4,587.76"
Barpeta,93,"1,166",741.08,-,-,"1,157","1,152.65","3,143","5,274.52",841,554.33,"1,290",587.41,1,6.11,0,0,"2,622","8,523.55","10,220","16,839.65"
Biswanath,61,600,376.85,1,5.61,42,90.42,124,259.36,"1,524",525.07,309,118.85,0,0,0,0,"1,356","5,873.17","3,956","7,249.33"
Bongaigaon,68,269,117.84,1,1.23,911,709.70,"1,100","2,095.02",575,682.47,155,81.24,2,92.67,1,11.15,"2,563","3,544.05","5,577","7,335.37"
Cachar,172,"1,340",667.00,4,2.20,"1,059","1,475.56","1,228","2,008.30","2,001","1,744.40","5,464","3,020.19",8,59.53,1,1.41,"4,682","8,314.48","15,787","17,293.07"
Charaideo,37,206,202.77,-,-,44,62.60,13,13.94,"1,084",503.41,10,7.71,1,0.65,1,1.37,473,"1,133.88","1,832","1,926.33"
Chirang,39,191,91.90,-,-,108,73.70,2,5.48,284,243.56,349,110.87,0,0,0,0,677,"1,866.94","1,611","2,392.45"
Darrang,70,570,411.21,5,2.90,824,"1,322.43","2,642","3,330.81","1,839",819.01,696,664.96,2,89.7,2,17.41,"1,666","7,003.06","8,246","13,661.49"
Dhemaji,51,645,509.91,1,0.28,54,148.22,"1,089","2,280.08",992,515.14,136,57.72,0,0,0,0,"1,423","4,529.64","4,340","8,040.99"
Dhubri,88,413,273.17,4,2.16,484,285.99,844,885.80,"1,281",332.39,439,158.41,0,0,6,6.25,"2,000","4,136.30","5,471","6,080.47"
Dibrugarh,186,"4,493","2,778.60",1,4.04,561,794.27,"1,490","2,304.43","6,928","2,495.28",400,255.01,1,1.92,11,31.6,"6,703","26,839.40","20,588","35,504.55"
Dima Hasao,33,40,43.63,0,0,22,23.23,4,4.46,5,12.69,2,1.26,0,0,0,0,134,392.53,207,477.80
Goalpara,70,533,228.25,12,7.17,244,190.97,559,"1,110.71",948,477.17,756,226.29,6,0.95,0,0,"2,378","6,553.56","5,436","8,795.07"
Golaghat,126,307,216.53,1,0.29,274,299.93,"1,920","2,832.97","4,428","1,710.95",530,259.72,2,375.38,0,0,"4,210","12,175.80","11,672","17,871.57"
Hailakandi,48,639,423.57,0,0,463,630.46,18,21.70,363,415.30,376,174.34,0,0,0,0,"1,175","2,311.25","3,034","3,976.62"
Hojai,65,166,113.45,0,0,691,851.79,512,"1,113.67",527,243.82,265,190.28,0,0,1,2.72,"1,309","3,227.02","3,471","5,742.75"
Jorhat,143,"2,257","1,026.45",7,11.26,874,"1,053.92",340,727.15,"4,971","1,767.91",694,569.12,0,0,4,725.33,"3,260","14,048.05","12,407","19,929.19"
Kamrup,179,"2,874","1,541.93",2,0.65,"5,544","2,117.84","1,501","1,820.51","2,575","1,720.54","1,531",768.54,0,0,5,7.23,"12,539","18,635.84","26,571","26,613.08"
Kamrup Metro,471,396,"1,322.12",1,65.83,"1,664","2,290.66","2,835","5,641.35",507,"2,059.62",860,733.86,10,501.17,5,26.19,"11,429","50,636.55","17,707","63,277.35"
Karbi Anglong,62,128,108.51,0,0,305,188.55,467,469.64,134,114.69,59,57.97,0,0,0,0,446,"2,772.51","1,539","3,711.87"
Kokrajhar,59,179,171.08,0,0,274,308.57,171,263.84,401,324.75,188,197.19,0,0,1,5.23,"1,492","3,525.18","2,706","4,795.84"
Lakhimpur,91,707,"1,093.32",3,1.21,408,668.85,"1,679","2,874.25","4,558","1,571.83",916,467.08,0,0,1,0.25,"2,521","8,064.75","10,793","14,741.54"
Majuli,16,44,19.21,0,0,7,21.93,21,26.34,9,32.71,8,4.16,0,0,0,0,91,155.31,180,259.66
Morigaon,70,708,703.45,0,0,"1,009","1,457.14","1,098","2,339.79","2,094",598.99,"1,794","1,103.28",1,9.53,0,0,"2,824","5,970.11","9,528","12,182.29"
Nagaon,156,"4,828","1,822.21",0,0,"1,593","1,897.29","3,109","6,094.10","3,049","1,327.40","4,964","2,218.86",0,0,1,4.96,"5,474","8,021.27","23,018","21,386.09"
Nalbari,85,"1,641",827.68,8,5.33,593,853.29,"2,712","2,767.85","1,243",767.10,"2,155",739.12,1,1.49,1,7.94,"3,168","7,137.88","11,522","13,107.68"
Sivasagar,104,767,498.74,0,0,685,819.11,767,"1,373.39","6,076","3,180.01",578,262.95,0,0,1,6,"2,704","10,763.96","11,578","16,904.16"
Sonitpur,135,"1,190",947.13,2,1.3,332,454.14,"2,762","4,434.01","1,709","1,123.01",746,341.55,0,0,4,23.16,"2,873","9,265.14","9,618","16,589.44"
South Salmara,16,-,-,0,0,-,-,1,0.90,1,5.76,-,-,0,0,0,0,20,28.56,22,35.22
Sribhumi,95,266,205.68,3,1.42,587,839.97,483,154.73,574,496.96,"2,737","1,534.30",0,0,0,0,"1,208","3,480.73","5,858","6,713.79"
Tamulpur,21,213,95.17,0,0,21,44.55,7,10.38,172,78.50,103,58.89,0,0,0,0,369,666.84,885,954.33
Tinsukia,151,"4,448","2,437.19",35,14.78,"1,329","2,438.65",922,"1,565.82","2,494","1,485.89",262,128.82,0,0,6,62.27,"2,414","18,608.58","11,910","26,742.00"
Udalguri,56,"1,368",599.64,1,0.48,116,243.43,"1,865",774.04,378,595.45,115,132.36,1,0.2,2,2.28,"1,019","1,864.85","4,865","4,212.73"
West Karbi Anglong,21,5,6.73,0,0,45,60.10,0,0,3,9.99,5,-,0,0,0,0,12,90.82,70,167.64
