District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,34,2043,3634.38,3,13.07,0,0,891,1489.99,0,0,678,2159.46,26,61.98,2836,4084.42,8,39.36,209,500.64,6694,11983.30
Baksa,36,2085,2623.13,-,-,0,0,105,231.46,7,0.51,296,1011.28,34,26.07,2784,5934.56,5,18.26,379,2402.63,5695,12247.90
Barpeta,93,8498,13324.35,81,185.66,2,2.3,2054,6360.15,35,116.63,820,2068.36,97,103.02,11781,18664.14,21,68,2004,11459.75,25393,52352.36
Biswanath,61,3465,4547.34,-,-,0,0,182,1162.77,0,0,1387,4206.48,4,24.06,7682,11050.41,4,15.22,872,6247.16,13596,27253.44
Bongaigaon,68,5894,13413.20,19,41.50,0,0,1006,2679.96,11,0.92,308,1106.36,9,13.51,8769,10734.29,43,353.67,830,3963.00,16889,32306.41
Cachar,172,10511,12343.02,111,247.33,2,7.83,2376,4640.23,4,0.5,878,2033.00,94,132.18,17132,18682.53,73,1002.55,3009,7474.86,34190,46564.03
Charaideo,37,2778,2875.85,0,0,0,0,52,102.83,2,8.5,290,1069.04,1,0.8,4769,5837.96,65,165.85,345,1194.36,8302,11255.19
Chirang,39,2401,3943.08,-,-,0,0,62,184.00,0,0,234,582.01,9,22.3,4411,6486.65,11,41.45,781,1779.89,7909,13039.38
Darrang,70,5295,7996.51,34,76.11,4,17.91,1309,4412.33,5,0.02,920,1667.12,96,74.74,11894,15141.04,33,156.9,1305,8466.03,20895,38008.71
Dhemaji,51,4434,5929.19,-,-,0,0,878,2589.17,0,0,885,2047.17,5,8.83,6359,11194.03,43,125.21,988,3125.96,13592,25019.56
Dhubri,88,5084,10603.50,70,155.34,0,0,596,1244.70,13,31.5,516,971.90,15,13.33,11788,20913.49,13,62,2031,7775.57,20126,41771.33
Dibrugarh,186,16980,19761.50,49,78.68,9,10.8,1537,3630.55,10,9.71,1857,7185.00,7,1.36,19622,20296.76,49,3577.05,2184,27798.76,42304,82350.17
Dima Hasao,33,228,237.98,-,-,0,0,16,26.99,31,8.33,170,307.12,5,3.62,541,1579.76,2,6.5,75,231.59,1068,2401.89
Goalpara,70,7126,10789.54,2,3.89,0,0,654,1557.19,9,26.49,612,1704.64,3,5.41,6310,11113.91,11,22.98,1511,7256.48,16238,32480.53
