district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHIST S No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIAN S No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
Bajali,34,7,43.71,"2,711","3,990.71",1,0.48,1,8.9,0,0,7,81,"2,727","4,124.80"
Baksa,36,30,74.58,"1,037","1,658.19",4,33.6,4,3.83,0,0,3,109.83,"1,078","1,880.03"
Barpeta,93,58,305.95,"28,008","55,098.75",11,12.08,8,27.17,0,0,29,398.12,"28,114","55,842.07"
Biswanath,61,193,251.09,"2,872","5,493.66",12,28.8,6,18.05,3,0.6,4,11.42,"3,090","5,803.62"
Bongaigaon,68,414,"1,475.48","10,331","21,540.22",304,233.65,23,142.58,6,2.55,25,166.72,"11,103","23,561.20"
Cachar,172,"1,071","2,425.98","26,000","47,128.71",28,40.7,27,131.76,0,0,40,2619.7,"27,166","52,346.85"
Charaideo,37,57,55.74,692,"1,391.25",18,105.18,21,140.95,0,0,7,3.14,795,"1,696.26"
Chirang,39,317,645.75,"3,617","5,484.45",12,21.72,8,29.43,1,0.4,1,1.78,"3,956","6,183.53"
Darrang,70,104,473.98,"18,169","30,605.37",3,2.65,5,48.1,2,9,9,210.99,"18,292","31,350.09"
Dhemaji,51,42,221.90,254,573.59,9,20.99,12,34.1,0,0,4,11.15,321,861.73
Dhubri,88,157,263.56,"26,224","45,797.65",10,14.11,8,53.84,1,19.7,9,601.99,"26,409","46,750.85"
Dibrugarh,186,750,"1,711.06","5,003","11,701.39",92,270.68,129,964.11,2,5.55,58,1091.73,"6,034","15,744.52"
Dima Hasao,33,"1,319","5,494.83",118,588.31,1,0.2,1,9.00,0,0,0,0,"1,439","6,092.34"
Goalpara,70,"1,418","1,415.90","11,931","26,517.51",3,10.05,12,15.48,0,0,7,120.9,"13,371","28,079.84"
Golaghat,126,533,947.36,"4,157","7,618.62",108,155.7,59,285.84,0,0,32,305.57,"4,889","9,313.09"
Hailakandi,48,118,210.74,"8,270","15,235.96",2,0.98,1,0.38,0,0,3,3.30,"8,394","15,451.36"
Hojai,65,109,266.24,"8,296","14,667.58",8,39.62,25,105.96,1,7,8,74.24,"8,447","15,160.64"
Jorhat,143,473,"1,292.70","3,451","8,536.96",206,459.89,62,556.75,2,14,53,"1,379.47","4,247","12,239.77"
Kamrup,179,375,815.56,"23,647","40,677.10",68,72.95,19,82.49,6,6.92,48,"1,264.94","24,163","42,919.96"
Kamrup Metro,471,"1,198","7,515.64","14,436","62,660.19",304,688.85,176,"7,455.93",5,22.84,233,"22,795.42","16,352","101,138.87"
Karbi Anglong,62,"1,302","3,162.31",371,"1,254.44",36,75.75,6,23.89,0,0,6,56.04,"1,721","4,572.43"
Kokrajhar,59,"1,431","2,557.56","8,230","15,620.66",4,29.52,6,33.91,0,0,4,9.54,"9,675","18,251.19"
Lakhimpur,91,480,"1,227.49","9,340","16,520.33",19,108.31,20,56.59,1,0.89,5,281.99,"9,865","18,195.60"
Majuli,16,10,36.16,7,53.25,1,1.45,0,0,0,0,0,0,18,90.86
Morigaon,70,39,148.91,"11,559","13,115.79",7,3.72,1,0.50,0,0,3,7.46,"11,609","13,276.38"
Nagaon,156,493,758.62,"43,592","72,761.92",26,44.86,68,300.61,4,2.1,37,"1,213.17","44,220","75,081.28"
Nalbari,85,33,96.04,"9,910","20,581.04",7,15.52,4,5.40,0,0,26,748.04,"9,980","21,446.04"
Sivasagar,104,195,440.05,"5,466","14,685.90",149,289.5,19,29.26,0,0,14,155.74,"5,843","15,600.45"
Sonitpur,135,766,"1,770.17","13,065","20,522.66",90,891.03,35,315.41,2,2.91,13,325.02,"13,971","23,827.20"
South Salmara,16,4,20.56,"1,309","4,401.59",1,1.15,5,4.74,1,1,1,25.00,"1,321","4,454.04"
Sribhumi,95,275,342.25,"10,903","24,393.84",4,1.2,11,33.37,1,1.06,9,178.55,"11,203","24,950.27"
Tamulpur,21,35,102.97,458,762.36,1,0.5,3,1.01,0,0,0,0,497,866.84
Tinsukia,151,463,"2,175.20","2,287","4,776.53",219,1471.19,66,466.99,0,0,60,"1,650.77","3,095","10,540.68"
Udalguri,56,935,"3,251.83","1,717","4,839.48",5,28.52,8,13.74,0,0,4,6.29,"2,669","8,139.86"
West Karbi Anglong,21,258,561.23,14,61.82,2,6.73,3,1.83,0,0,0,0,277,631.61
