district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bajali,34,118,418.60,256,"1,223.47",418,762.53,"1,039","4,494.73","3,107","9,042.77",76,64.42,0.71
Baksa,36,40,12.56,322,"1,557.49",638,235.62,"1,245","5,394.04","4,553","12,938.58",206,141.72,1.10
Barpeta,93,308,477.51,"1,337","5,364.84","4,085","3,263.55","4,973","18,947.57","13,249","34,052.17",780,491.90,1.44
Biswanath,61,88,16.10,838,"3,595.02","2,674",682.67,"4,635","17,920.71","9,362","24,499.00",769,284.05,1.16
Bongaigaon,68,102,191.19,559,"2,140.26","1,707",772.07,"2,171","8,342.28","6,813","19,083.18",151,133.34,0.70
Cachar,172,93,84.74,843,"2,599.15","2,047","1,366.90","3,865","10,876.71","10,252","23,457.35",498,208.97,0.89
Charaideo,37,66,59.08,315,"1,482.85",619,179.06,"1,163","5,005.18","4,886","13,948.70",108,69.61,0.50
Chirang,39,44,179.44,267,870.98,"1,149",353.08,"1,211","3,915.72","3,893","10,790.06",173,93.89,0.87
Darrang,70,321,791.09,965,"3,738.01","2,619","3,287.27","3,707","13,177.40","10,110","24,449.03",521,457.16,1.87
Dhemaji,51,141,153.09,933,"3,405.20","3,478",967.77,"4,326","15,716.72","9,673","26,949.76",423,176.98,0.66
Dhubri,88,511,757.68,872,"2,299.91","5,508","2,606.79","4,077","9,858.06","12,083","26,010.86",833,412.82,1.59
Dibrugarh,186,222,258.20,972,"4,321.13","3,564","1,432.25","4,717","17,746.08","10,826","32,194.23",410,265.11,0.82
Dima Hasao,33,24,3.03,144,493.63,361,54.38,569,"1,524.07","1,596","4,061.25",54,42.03,1.03
Goalpara,70,120,147.60,549,"2,508.09","1,127",579.90,"2,164","8,645.84","7,647","20,800.58",672,327.34,1.57
Golaghat,126,210,521.20,"1,178","5,509.48","3,328","1,766.53","4,643","18,875.92","12,660","40,322.36",211,198.06,0.49
Hailakandi,48,34,18.75,234,567.27,"1,413",811.50,"1,484","3,655.00","4,247","8,287.72",542,319.00,3.85
Hojai,65,114,52.09,676,"2,301.96","2,474",726.51,"2,902","8,671.77","6,608","15,708.45",182,120.75,0.77
Jorhat,143,148,354.92,773,"3,616.73","2,205","1,690.95","3,067","12,133.22","9,504","27,944.17",97,75.97,0.27
Kamrup,179,247,396.32,"1,204","5,474.29","3,028","1,866.95","6,004","23,532.07","13,374","39,041.18",903,693.82,1.78
Kamrup Metro,471,117,225.31,702,"2,849.20","1,763","1,753.03","2,540","10,450.16","5,689","14,312.62",261,240.76,1.68
Karbi Anglong,62,47,71.53,642,"3,265.21",459,171.91,"2,106","8,930.83","8,025","27,943.74",187,50.43,0.18
Kokrajhar,59,128,288.24,478,"1,788.29","4,055","1,256.90","1,978","6,786.86","7,152","18,513.73",327,187.93,1.02
Lakhimpur,91,114,210.82,"1,297","4,949.95","3,175","2,093.56","5,514","19,399.68","13,056","33,428.93",667,219.72,0.66
Majuli,16,19,19.03,159,743.54,158,43.16,604,"2,661.03","2,466","6,056.94",116,85.92,1.42
Morigaon,70,176,273.15,858,"3,294.57","1,904","1,076.07","4,120","14,380.68","9,490","21,346.51","1,567",720.72,3.38
Nagaon,156,435,836.94,"1,942","8,130.88","6,728","3,110.31","7,507","28,440.98","19,609","51,522.65",574,469.21,0.91
Nalbari,85,226,584.72,"1,015","5,253.83","1,292","1,520.34","3,670","16,657.72","10,326","29,729.72",533,303.46,1.02
Sivasagar,104,73,83.44,477,"1,998.50","1,923","1,067.40","1,767","6,436.91","7,465","19,701.39",134,98.60,0.50
Sonitpur,135,161,356.65,"1,030","4,446.40","3,535","2,181.05","3,978","16,370.29","11,066","29,822.02",882,337.73,1.13
South Salmara,16,17,20.24,85,227.60,438,83.23,256,706.58,"1,302","3,078.31",159,52.52,1.71
Sribhumi,95,103,0.79,321,866.91,985,598.50,"1,742","4,196.37","5,539","11,515.67",542,263.54,2.29
Tamulpur,21,59,45.77,249,998.40,803,309.40,863,"3,386.44","2,915","8,577.64",54,33.05,0.39
Tinsukia,151,158,125.48,793,"3,357.21","2,441","1,263.57","3,099","12,573.05","9,198","29,405.37",398,209.97,0.71
Udalguri,56,141,243.21,651,"2,753.31","2,817",864.17,"1,938","7,529.50","6,575","17,458.31",468,320.68,1.84
West Karbi Anglong,21,16,7.94,243,"1,165.35",405,21.66,855,"3,482.87","3,198","9,168.85",266,74.92,0.82
