District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bajali,34,18305,18650.51,1658,1342.96,713,1028.64,11,0.73,2593,7275.84,7461,3027.00,4507,4931.65,523,0.43,643,1499.06,36414,37756.82
Baksa,36,12917,12805.13,683,1217.53,4240,7430.86,9,0.22,4745,13621.28,4231,1769.56,2228,3729.57,267,0.44,880,1592.76,30200,42167.35
Barpeta,93,55475,58113.60,4042,3660.93,1217,2631.75,73,9.59,10082,23684.94,25562,10830.23,33846,53379.79,490,3.52,4766,10122.84,135553,162437.19
Biswanath,61,31046,28951.40,3324,3482.11,5263,4523.15,16,1.39,7728,18641.34,13704,6530.14,4157,6725.14,122,0.54,2606,4061.05,67966,72916.26
Bongaigaon,68,30347,34365.28,3061,3857.85,1811,7013.15,15,4.10,4825,13299.27,17070,11526.16,10021,17632.29,891,1.99,4771,7439.41,72812,95139.50
Cachar,172,74555,51815.08,17981,13369.08,2415,4135.53,8,0.57,6092,11574.58,78087,36376.44,33330,53566.26,1721,11.82,2497,5220.68,216686,176070.04
Charaideo,37,16333,15086.76,558,667.84,472,882.95,2,0.08,3640,11167.48,10796,6143.58,1836,2784.28,124,0.11,847,1620.92,34608,38354.00
Chirang,39,15579,16156.05,1220,1178.33,9516,12498.07,7,0.48,3103,8466.74,8588,3975.87,3524,4309.14,33,0.57,1670,3288.24,43240,49873.49
Darrang,70,50982,45528.59,1288,1264.13,651,1159.18,19,1.73,7302,18640.32,20164,7520.55,20585,34624.94,888,3.26,2614,5101.18,104493,113843.88
Dhemaji,51,33152,34459.49,1918,2479.00,13295,20301.74,2,0.04,6625,18219.69,14132,7050.41,193,546.00,157,0.92,3229,7867.97,72703,90925.26
Dhubri,88,43161,37434.68,2760,1911.96,2869,1982.83,12,1.07,6969,13305.05,26525,9754.37,24369,34293.16,660,1.55,5592,10460.57,112917,109145.24
Dibrugarh,186,83449,71974.63,5786,7177.43,7994,13362.31,206,18.78,6167,19714.07,47828,28566.25,4169,13783.86,533,2.27,4654,8945.39,160786,163544.99
Dima Hasao,33,2719,4441.34,237,359.84,3198,7961.52,7,0.59,1527,3852.01,2133,1402.46,1575,3230.87,118,0.11,109,315.41,11623,21564.15
Goalpara,70,30273,27300.07,1532,1835.57,6516,6331.86,15,1.56,7328,20579.45,21626,9326.82,17104,24785.10,276,1.81,2163,4655.37,86833,94817.61
Golaghat,126,74904,61099.18,6005,5084.39,8111,8522.09,19,1.32,7405,23986.60,41066,20220.79,5019,8172.06,1111,12.31,3145,7778.60,146785,134877.34
Hailakandi,48,21629,14968.63,2651,2304.07,637,726.19,5,0.55,2917,5069.73,14278,6813.30,16294,17641.36,112,4.93,814,1609.02,59337,49137.78
Hojai,65,27519,23253.14,4367,4578.73,1722,2146.36,15,0.95,3509,8376.00,16137,10505.38,13535,20489.86,259,2.42,1422,2480.31,68485,71833.15
Jorhat,143,54938,39184.87,6308,6477.74,9413,9950.17,55,5.32,6014,18245.23,40117,22417.99,4570,12157.62,1056,13.02,3538,6991.43,126009,115443.39
Kamrup Metro,179,105228,79829.97,7208,5703.80,7364,8965.44,36,3.89,10532,29398.85,47937,21182.29,19404,35738.93,495,1.46,5203,9974.15,203407,190798.78
Karbi Anglong,62,19598,18730.34,585,1810.82,9426,16583.76,10,1.21,7725,27162.02,14900,5816.94,1667,2678.44,631,34.33,746,965.18,55288,73783.04
Kokrajhar,59,29310,33433.07,1582,1990.98,12992,21665.87,4,0.24,4489,10502.37,20931,8207.36,11555,14228.69,162,2.32,4793,9882.61,85818,99913.51
Lakhimpur,91,76188,67810.45,5263,6704.17,16554,24433.84,7,0.46,7899,18911.47,27925,19217.53,11889,19073.35,92,1.72,3694,7291.74,149511,163444.73
Majuli,16,9907,11538.14,968,1722.76,3614,7399.47,4,0.38,1260,3272.36,2326,3990.86,63,160.50,91,0.28,874,1881.05,19107,29965.80
Morigaon,70,50229,114315.80,5280,5059.89,9018,8427.53,73,7.65,6846,14097.65,23291,15426.93,18097,23618.10,1858,3.77,2181,3053.77,116873,184011.09
Nagaon,156,100405,81302.46,9311,8696.41,5552,5338.15,72,4.64,11719,32078.64,55358,32898.51,49390,69878.91,1596,6.86,4887,11262.51,238290,241467.09
Nalbari,85,44434,39109.68,2745,3586.63,1424,2245.52,34,13.91,8165,24061.13,22649,8513.15,10880,17384.03,472,3.50,2934,5695.82,93737,100613.37
Sivasagar,104,43046,30777.36,3309,3868.04,2414,4041.91,54,4.16,4264,12126.47,30601,16439.52,6031,15557.03,828,2.40,3596,5090.50,94143,87907.39
Sonitpur,135,48871,42694.43,4830,5443.66,5485,7419.20,25,1.78,8210,22284.16,36038,19471.23,9908,19721.43,858,4.71,6199,13510.15,120424,130550.75
South Salmara,16,2553,1981.57,24,60.79,34,36.48,8,0.55,1015,2410.82,224,108.43,2651,6142.81,17,0.07,591,1270.96,7117,12012.48
Tamulpur,21,8309,8884.23,722,902.76,2545,4365.45,1,0.15,2887,8503.54,3593,1253.24,788,1190.95,25,0.03,897,1579.31,19767,26679.66
Tinsukia,151,50112,51618.10,2755,4245.65,4706,9885.30,84,6.62,7103,23387.87,29781,20528.22,2473,11250.43,1309,3.00,2989,7215.42,101312,128140.61
