District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Bajali,34,5,2.09,0,0.00,5,20.65,116,115.31,1949,597.24,2075,735.29
Baksa,36,3,13.38,0,0.00,9,46.56,177,176.80,754,944.36,943,1181.10
Barpeta,93,6,15.69,0,0.00,29,165.95,589,502.20,9582,4070.67,10206,4754.51
Biswanath,61,3,1.60,0,0.00,5,1.01,190,116.01,3685,905.61,3883,1024.23
Bongaigaon,68,10,10.29,0,0.00,15,105.2,342,513.99,4127,2372.32,4494,3001.80
Cachar,172,14,38.74,0,0.00,34,675.27,537,821.05,14612,6505.64,15197,8040.70
Charaideo,37,0,0.00,0,0.00,0,0,65,83.17,889,366.15,954,449.32
Chirang,39,1,0.00,0,0.00,2,22.89,111,78.30,1317,519.93,1431,621.12
Darrang,70,5,7.69,0,0.00,11,115.76,445,327.59,8362,2475.96,8823,2927.00
Dhemaji,51,1,4.75,0,0.00,7,43.21,206,274.19,1783,1056.76,1997,1378.91
Dhubri,88,5,6.97,0,0.00,9,40.46,479,409.00,11427,2892.27,11920,3348.70
Dibrugarh,186,3,4.93,2,34.76,27,401.07,905,977.92,7051,5053.23,7988,6471.91
Dima Hasao,33,0,0.00,0,0.00,0,0,57,102.13,282,339.68,339,441.81
Goalpara,70,1,4.27,1,23.22,4,30.96,260,292.99,4095,2513.47,4361,2864.91
Golaghat,126,11,36.50,0,0.00,20,180.42,359,272.41,5159,2286.79,5549,2776.12
Hailakandi,48,319,131.31,0,0.00,8,10.67,237,237.26,2247,1173.95,2811,1553.19
Hojai,65,5,27.15,0,0.00,9,106.84,290,349.23,4328,1583.85,4632,2067.07
Jorhat,143,6,4.36,1,36.11,47,616.67,609,554.47,5661,4006.50,6324,5218.11
Kamrup Metro,179,1,1.15,0,0.00,24,468.14,708,950.19,12558,5639.53,13291,7059.01
Karbi Anglong,62,1,1.07,0,0.00,1,0.00,210,351.47,755,1024.48,967,1377.02
Kokrajhar,59,3,1.43,0,0.00,6,109.24,281,243.15,1890,1657.29,2180,2011.11
Lakhimpur,91,0,0.00,0,0.00,19,217.19,462,534.83,7166,2776.79,7647,3528.81
Majuli,16,0,0.00,0,0.00,2,25.7,57,37.24,226,187.56,285,250.50
Morigaon,70,7,15.88,0,0.00,14,88.42,281,429.81,4012,1508.25,4314,2042.36
Nagaon,156,14,41.27,1,1.66,25,331.44,643,616.66,13785,6318.14,14468,7309.17
Nalbari,85,2,14.92,0,0.00,22,153.01,460,541.57,6423,2882.81,6907,3592.31
Sivasagar,104,8,13.81,0,0.00,23,265.16,417,520.12,4930,3006.15,5378,3805.24
Sonitpur,135,5,8.51,0,0.00,31,407.26,649,601.92,7112,3996.23,7797,5013.92
South Salmara,16,0,0.00,0,0.00,2,0.2,111,126.06,336,391.34,449,517.60
Tamulpur,21,0,0.00,0,0.00,0,0,68,98.24,869,322.06,937,420.30
Tinsukia,151,10,33.17,0,0.00,18,327.17,561,584.31,5099,4135.64,5688,5080.29
Udalguri,56,0,0.00,0,0.00,11,151.82,206,237.17,1600,1260.34,1817,1649.33
West Karbi Anglong,21,0,0.00,0,0.00,0,0,32,41.93,104,77.11,136,119.04
