District,Total Branch,Inactive CSP,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Bajali,34,2,"28,417","13,664","119,647","7,060"
Baksa,36,14,"58,947","24,028","162,589","5,017"
Barpeta,93,25,"241,356","101,355","764,818","19,630"
Biswanath,61,12,"90,543","72,080","185,858","8,855"
Bongaigaon,68,9,"100,742","39,107","267,767","10,998"
Cachar,172,130,"200,551","68,740","472,328","12,827"
Charaideo,37,3,"49,507","9,109","70,530","4,719"
Chirang,39,6,"79,833","45,888","194,839","3,969"
Darrang,70,38,"125,363","41,120","371,491","18,489"
Dhemaji,51,16,"104,542","82,342","198,055","9,246"
Dhubri,88,46,"188,425","87,758","556,855","9,053"
Dibrugarh,186,91,"159,931","118,728","449,356","26,494"
Dima Hasao,33,3,"37,219","4,025","39,800",200
Goalpara,70,22,"146,960","43,899","490,365","12,418"
Golaghat,126,28,"132,549","80,851","278,370","22,510"
Hailakandi,48,7,"91,606","30,344","268,754","7,374"
Hojai,65,19,"134,666","48,767","294,849","6,055"
Jorhat,143,81,"97,587","50,938","302,768","18,804"
Kamrup Metro,179,28,"253,365","103,920","642,079","34,940"
Karbi Anglong,62,7,"44,302","15,598","111,916","5,446"
Kokrajhar,59,13,"85,947","48,547","379,312","9,785"
Lakhimpur,91,7,"128,867","94,218","253,794","15,714"
Majuli,16,4,"22,194","5,737","47,393","1,896"
Morigaon,70,37,"166,838","24,972","271,189","13,555"
Nagaon,156,347,"210,651","92,802","799,706","29,339"
Nalbari,85,11,"90,344","34,553","354,221","15,315"
Sivasagar,104,94,"78,967","43,988","210,590","9,276"
Sonitpur,135,167,"114,957","58,152","516,885","14,562"
South Salmara,16,9,"9,415","7,992","122,091",329
Tamulpur,21,12,"59,169","24,632","135,145","2,224"
Tinsukia,151,80,"136,862","64,488","503,729","18,441"
Udalguri,56,17,"124,671","55,757","386,488","13,225"
West Karbi Anglong,21,8,"17,936","5,224","51,447",591
