District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Bajali,34,22112,22522.41,5933,2927.03,13.00,4144,18429.93,783,680.43,3.69,4701,19826.59,175,204.81,1.03,30957,60778.93,6891,3812.27,6.27
Baksa,36,17593,22618.73,4329,2345.19,10.37,5405,14210.64,1562,1538.16,10.82,1796,8747.11,182,122.11,1.40,24794,45576.48,6073,4005.46,8.79
Barpeta,93,75152,89016.04,22995,14608.25,16.41,16511,82882.80,4654,6213.44,7.50,18743,32100.44,1292,502.96,1.57,110406,203999.28,28941,21324.65,10.45
Biswanath,61,41496,52022.13,13364,7188.43,13.82,9291,31652.25,2501,1884.94,5.96,9965,18870.33,2030,644.74,3.42,60752,102544.71,17895,9718.11,9.48
Bongaigaon,68,35404,47829.60,7411,4335.98,9.07,13166,67703.64,2665,4620.76,6.82,12903,22787.79,1090,220.53,0.97,61473,138321.03,11166,9177.27,6.63
Cachar,172,92000,80797.36,29211,15652.66,19.37,29479,162258.41,6979,12605.74,7.77,57610,56066.90,2062,949.05,1.69,179089,299122.67,38252,29207.45,9.76
Charaideo,37,21829,26010.09,2460,1464.27,5.63,5610,17997.15,1139,1510.24,8.39,4771,7433.90,553,157.16,2.11,32210,51441.14,4152,3131.67,6.09
Chirang,39,20012,21141.43,6622,3671.18,17.36,6742,19770.29,2529,2079.52,10.52,6339,8292.71,1027,134.83,1.63,33093,49204.43,10178,5885.53,11.96
Darrang,70,62787,67610.61,18376,10539.36,15.59,12584,58822.68,3955,5057.82,8.60,10905,21679.52,1550,527.42,2.43,86276,148112.81,23881,16124.60,10.89
Dhemaji,51,42114,46387.63,12677,8411.48,18.13,11717,35667.88,2584,2492.86,6.99,8326,18927.21,504,285.34,1.51,62157,100982.72,15765,11189.68,11.08
Dhubri,88,55654,56331.80,23241,10970.73,19.48,14421,54491.68,4744,3447.55,6.33,18521,25571.96,1118,487.62,1.91,88596,136395.44,29103,14905.90,10.93
Dibrugarh,186,109386,132203.21,31417,19249.27,14.56,28967,210922.00,7991,15289.42,7.25,23082,51901.33,2199,1114.52,2.15,161435,395026.54,41607,35653.21,9.03
Dima Hasao,33,3770,5742.45,601,207.77,3.62,4561,9223.48,719,629.58,6.83,497,4226.09,16,27.49,0.65,8828,19192.02,1336,864.84,4.51
Goalpara,70,42403,48536.59,12164,6159.04,12.69,12264,44695.30,3408,3564.47,7.98,14496,19943.28,1548,643.98,3.23,69163,113175.17,17120,10367.49,9.16
Golaghat,126,94563,99124.53,28025,13834.77,13.96,18547,69182.00,4005,5027.67,7.27,20556,29883.18,1005,219.12,0.73,133666,198189.71,33035,19081.56,9.63
Hailakandi,48,27151,22338.99,10434,4833.03,21.63,7494,20762.77,2156,2316.50,11.16,9602,10115.69,193,324.05,3.20,44247,53217.45,12783,7473.58,14.04
Hojai,65,35918,36953.76,9827,5190.85,14.05,11498,53052.88,3130,4548.40,8.57,9694,14839.72,447,223.73,1.51,57110,104846.36,13404,9962.98,9.50
Jorhat,143,78940,102289.42,22922,10952.07,10.71,20359,155384.13,4677,16078.23,10.35,20458,53573.05,2403,824.85,1.54,119757,311246.60,30002,27855.15,8.95
Kamrup Metro,179,136536,118481.72,40099,21145.27,17.85,23193,115231.03,6033,7398.84,6.42,34376,61042.36,3325,618.11,1.01,194105,294755.11,49457,29162.22,9.89
Karbi Anglong,62,45436,49605.71,9566,4971.98,10.02,10867,26071.12,1991,1676.16,6.43,6092,22345.43,587,279.08,1.25,62395,98022.26,12144,6927.22,7.07
Kokrajhar,59,46948,53770.42,12081,7046.32,13.10,10372,34664.46,3432,4162.01,12.01,12181,16463.54,1129,226.53,1.38,69501,104898.42,16642,11434.86,10.90
Lakhimpur,91,94678,84512.05,32641,17422.89,20.62,21569,76751.60,6860,5909.28,7.70,13824,43671.76,1795,789.66,1.81,130071,204935.41,41296,24121.83,11.77
