District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,34,1124,2052.68,12829,11938.48,7559,2733,18,17.08,174,213.85,33,31,6,1.55,24,100.02,3,3
Baksa,36,660,524.71,9069,6509.37,5095,3997,18,11.75,80,113.62,20,18,11,8.53,33,45.58,19,16
Barpeta,93,3648,6964.94,40262,39510.34,23872,11893,243,135.23,608,460.11,17,16,57,44.79,203,181.57,15,11
Biswanath,61,1188,2364.90,22541,18096.40,9960,7241,16,12.24,176,182.80,24,22,4,24.06,33,74.89,3,3
Bongaigaon,68,1897,5309.35,16476,19820.14,12302,8029,3,1.25,91,53.72,24,13,6,6.58,37,53.62,10,10
Cachar,172,3672,3905.63,44950,25923.20,26655,9574,18,16.53,159,153.72,11,2,63,54.86,361,455.70,71,61
Charaideo,37,523,581.70,10168,6995.94,5225,4630,19,12.11,169,169.30,12,10,1,0.8,15,8.42,3,3
Chirang,39,859,1640.20,11154,8986.82,5009,3485,2,2.38,41,58.55,5,3,3,5.20,12,10.07,2,1
Darrang,70,2885,4783.33,29608,27609.61,19748,8603,13,7.77,287,338.91,25,23,85,55.77,357,628.00,30,26
Dhemaji,51,1446,2811.47,26013,21136.08,14935,6801,52,48.85,407,399.46,229,27,3,7.35,74,92.07,11,11
Dhubri,88,1011,2186.76,27609,19647.25,15456,6731,5,4.35,191,209.30,19,19,13,8.83,44,33.14,1,1
Dibrugarh,186,6540,15276.13,59846,48161.88,37427,17543,25,29.69,213,242.93,53,27,5,1.54,51,52.05,10,8
Dima Hasao,33,31,82.91,1444,574.11,335,118,7,7.11,110,83.06,43,42,1,0.35,25,12.10,6,6
Goalpara,70,2431,3038.97,23467,18126.47,14742,10456,6,3.87,192,160.26,14,11,4,3.9,27,18.51,6,4
Golaghat,126,3613,5019.35,52538,35517.60,27077,11036,20,13.42,260,186.83,19,14,7,16.46,46,40.03,8,7
Hailakandi,48,1906,872.00,16048,7633.00,9372,4807,83,73.05,134,135.22,30,24,18,12.30,61,44.56,8,6
Hojai,65,2342,2365.46,18930,13203.25,12100,3853,30,19.55,112,66.55,5,5,24,19.36,74,54.56,4,4
Jorhat,143,2926,4322.96,40215,25267.14,22512,7349,17,22.50,206,190.73,88,39,15,9.6,90,74.01,5,3
Kamrup Metro,179,6113,6866.85,59556,46145.99,37135,20437,101,60.70,307,360.48,86,57,35,82.30,124,299.65,29,24
Karbi Anglong,62,1036,1804.16,29299,18372.65,7091,3024,5,6.19,203,177.12,9,7,14,16.71,98,92.93,5,5
Kokrajhar,59,1565,3727.31,23617,23059.22,11138,9404,22,29.12,161,228.11,,,12,5.22,34,21.53,1,1
Lakhimpur,91,5711,9405.44,55487,44131.37,29947,17006,26,21.92,243,186.92,28,20,19,47.42,93,144.66,4,1
Majuli,16,283,276.31,5673,2952.81,2143,1237,1,1.30,22,15.60,,,6,2.41,97,29.65,,
Morigaon,70,3713,3473.00,35484,25801.64,20983,10927,52,30.75,462,472.47,160,158,65,41.67,412,599.75,135,135
Nagaon,156,6516,14013.17,73536,57567.11,39245,17770,111,81.55,501,414.81,190,172,118,143.78,436,467.57,161,145
Nalbari,85,2680,3755.92,29809,23078.96,16278,8837,50,28.15,630,477.47,105,97,13,3.38,75,67.87,18,13
Sivasagar,104,1712,3293.03,25023,15771.52,12155,5448,48,43.94,474,412.98,39,17,1,1.72,185,135.16,81,80
Sonitpur,135,3445,5094.31,25939,24626.25,15737,9549,30,28.03,300,387.42,73,67,20,22.38,149,211.65,60,55
South Salmara,16,29,29.43,2034,912.83,321,305,,,8,12.16,,,,,28,34.10,,
Tamulpur,21,272,587.15,5214,4675.64,2318,1293,3,0.88,22,52.75,0,0,4,7.77,9,10.54,1,1
Tinsukia,151,4996,9593.55,39071,35914.64,25541,13017,170,88.14,357,451.73,60,56,27,40.72,96,109.39,7,5
Udalguri,56,1988,3275.22,29571,21360.98,15200,11017,0,0.01,106,114.98,6,5,9,8.94,30,88.96,1,1
West Karbi Anglong,21,728,488.30,10209,5233.00,755,296,0,0,14,9.02,0,0,,0,8,1.21,0,0
