district,Total Sourced Application,Total Sanctioned,Total Disbursed,Loan Application under process,Loan Rejected
Baksa,103,15,8,18,70
Barpeta,46,18,15,16,12
Biswanath,81,12,10,22,47
Bongaigaon,81,13,9,11,57
Cachar,352,35,25,80,237
Charaideo,85,31,29,3,51
Chirang,24,3,3,5,16
Darrang,95,16,3,29,50
Dhemaji,126,14,13,30,82
Dhubri,146,33,26,15,98
Dibrugarh,187,57,51,17,113
Dima Hasao,16,1,1,4,11
Goalpara,54,10,18,15,29
Golaghat,112,26,17,24,62
Hailakandi,163,30,32,18,115
Hojai,92,8,13,20,64
Jorhat,110,10,12,21,79
Kamrup Metro,170,24,11,73,73
Karbi Anglong,63,3,2,3,57
Karimganj,74,7,6,26,41
Kokrajhar,75,5,8,8,62
Lakhimpur,68,24,18,18,26
Majuli,51,4,1,2,45
Morigaon,55,6,0,27,22
Nagaon,252,26,21,21,205
Nalbari,114,32,6,25,57
Sivasagar,99,30,23,14,55
Sonitpur,103,26,23,18,59
South Salmara,35,4,9,1,30
Tamulpur,5,0,0,5,0
Tinsukia,131,35,32,16,80
Udalguri,54,8,4,9,37
West Karbi Anglong,11,1,0,0,10
