district,Total Branc h,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
Bajali,34,"24,250","29,820.22","6,694","11,983.30",40.19,"20,463","21,039.79","2,043","3,634.38",17.27,"2,424","14,642.74","1,442","14,429.04",98.54,"1,233","4,394.21","2,208","3,010.89",68.52,"27,907","48,857.17","10,344","29,423.23",60.22
Baksa,36,"92,318","42,544.00","5,695","12,247.90",28.79,"32,403","24,980.00","2,085","2,623.13",10.50,"5,199","22,326.00","1,528","9,539.16",42.73,"11,301","4,942.00",647,"1,598.02",32.34,"108,818","69,812.00","7,870","23,385.08",33.50
Barpeta,93,"64,445","75,759.05","25,393","52,352.36",69.10,"50,231","47,148.38","8,498","13,324.35",28.26,"8,217","62,783.96","5,802","64,358.56",102.51,"3,125","13,422.41","13,874","13,150.34",97.97,"75,787","151,965.42","45,069","129,861.26",85.45
Biswanath,61,"12,956","21,512.00","13,596","27,253.44",126.69,"2,185","2,125.00","3,465","4,547.34",213.99,"6,359","30,270.00","3,308","21,902.05",72.36,"3,090","14,564.00","5,228","5,479.56",37.62,"22,405","66,346.00","22,132","54,635.05",82.35
Bongaigaon,68,"54,170","62,422.45","16,889","32,306.41",51.75,"30,531","30,757.48","5,894","13,413.20",43.61,"8,008","45,000.00","5,290","49,732.33",110.52,"3,047","15,000.00","7,364","7,089.39",47.26,"65,225","122,422.45","29,543","89,128.13",72.80
Cachar,172,"50,859","44,173.78","34,190","46,564.03",105.41,"27,423","26,401.00","10,511","12,343.02",46.75,"22,156","121,415.82","12,631","124,726.47",102.73,"11,362","31,616.39","40,381","25,673.39",81.20,"84,377","197,205.99","87,202","196,963.89",99.88
Charaideo,37,"19,283","26,327.00","8,302","11,255.19",42.75,"12,692","12,989.00","2,778","2,875.85",22.14,"2,334","13,678.00","2,090","12,196.11",89.17,"1,180","4,841.00","2,118","1,738.50",35.91,"22,797","44,846.00","12,510","25,189.80",56.17
Chirang,39,"35,946","38,970.51","7,909","13,039.38",33.46,"21,694","25,798.30","2,401","3,943.08",15.28,"2,360","22,000.00","2,319","13,204.17",60.02,"2,534","4,500.00","3,857","3,880.08",86.22,"40,840","65,470.51","14,085","30,123.63",46.01
Darrang,70,"27,495","22,412.30","20,895","38,008.71",169.59,"17,481","12,216.59","5,295","7,996.51",65.46,"28,212","51,404.47","4,370","42,081.19",81.86,"2,443","5,630.10","6,641","7,903.05",140.37,"58,150","79,446.87","31,906","87,992.95",110.76
Dhemaji,51,"37,625","49,098.04","13,592","25,019.56",50.96,"29,349","34,574.35","4,434","5,929.19",17.15,"3,098","22,649.00","4,161","23,883.12",105.45,"1,483","4,925.28","4,005","6,321.10",128.34,"42,206","76,672.32","21,758","55,223.78",72.03
Dhubri,88,"75,569","94,973.08","20,126","41,771.33",43.98,"21,823","20,874.40","5,084","10,603.50",50.80,"5,740","31,964.15","5,580","44,906.16",140.49,"5,541","15,944.49","14,550","13,761.19",86.31,"86,850","142,881.72","40,256","100,438.68",70.29
Dibrugarh,186,"40,954","84,554.11","42,304","82,350.17",97.39,"24,401","37,602.00","16,980","19,761.50",52.55,"11,607","157,924.63","11,205","151,180.72",95.73,"3,648","73,073.88","12,236","13,945.39",19.08,"56,209","315,552.62","65,745","247,476.28",78.43
Dima Hasao,33,"21,489","23,330.83","1,068","2,401.89",10.29,"13,122","13,690.36",228,237.98,1.74,"4,674","7,662.89","2,135","5,754.02",75.09,"1,221","2,372.12",100,396.62,16.72,"27,384","33,365.84","3,303","8,552.53",25.63
Goalpara,70,"35,194","30,715.48","16,238","32,480.53",105.75,"24,911","21,331.96","7,126","10,789.54",50.58,"9,987","26,527.63","3,766","32,817.45",123.71,"5,809","11,740.08","9,025","8,468.90",72.14,"50,990","68,983.19","29,029","73,766.88",106.93
