District,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Bajali,34,174494,122300,70
Baksa,36,93785,80677,86
Barpeta,94,452482,391990,87
Biswanath,61,243113,177439,73
Bongaigaon,68,429430,324907,76
Cachar,175,1252225,614582,49
Charaideo,37,150008,90136,60
Chirang,39,179844,103441,58
Darrang,70,308338,256705,83
Dhemaji,52,220281,213358,97
Dhubri,89,425661,272372,64
Dibrugarh,188,1373478,924291,67
Dima Hasao,34,157418,70927,45
Goalpara,70,314365,220126,70
Golaghat,127,491705,463421,94
Hailakandi,48,228532,106110,46
Hojai,66,379433,199165,52
Jorhat,144,939754,672914,72
Kamrup Metro,181,840639,616521,73
Karbi Anglong,63,232442,212467,91
Kokrajhar,60,451128,247408,55
Lakhimpur,92,394528,406707,103
Majuli,17,50759,47703,94
Morigaon,70,233912,181306,78
Nagaon,156,751282,660781,88
Nalbari,87,411873,313354,76
Sivasagar,105,590451,440782,75
Sonitpur,136,746896,572836,77
South Salmara,17,38759,26193,68
Tamulpur,21,72970,49944,68
Tinsukia,152,957681,613596,64
Udalguri,56,222566,179887,81
West Karbi Anglong,21,41490,42471,102
