district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Bajali,34,13,73.74,0,0,0,0,3,33.28,340,"4,774.15",671,"2,660.08","6,692","29,479.86","7,719","37,021.11"
Baksa,36,1,3.00,0,0,0,0,3,36.21,121,"1,774.58",351,"1,282.22","3,178","15,362.92","3,654","18,458.93"
Barpeta,93,40,191.46,0,0,0,0,23,237.44,683,"7,521.77","2,517","8,973.94","21,321","74,469.97","24,584","91,394.58"
Biswanath,61,16,141.98,0,0,0,0,8,98.82,285,"2,929.60",621,"2,703.24","8,266","30,589.52","9,196","36,463.16"
Bongaigaon,68,4,21.81,73,4778.22,0,0,37,539.77,702,"8,453.15","2,523","9,865.08","16,114","64,900.05","19,453","88,558.08"
Cachar,172,19,108.55,56,1455.73,0,0,33,839.3,854,"10,406.58","4,672","14,953.26","51,866","148,010.84","57,500","175,774.26"
Charaideo,37,0,0,0,0,0,0,1,6.49,92,"1,058.14",249,"1,053.60","4,455","16,812.15","4,797","18,930.38"
Chirang,39,2,2.23,0,0,0,0,2,14.01,187,"1,725.69",509,"1,514.42","5,287","25,140.69","5,987","28,397.04"
Darrang,70,23,150.00,61,2964.49,0,0,23,429.81,508,"6,108.69","2,061","5,759.36","13,080","49,006.47","15,756","64,418.82"
Dhemaji,51,41,112.3,0,0,0,0,6,92.28,556,"5,935.34",990,"4,652.37","11,893","47,103.57","13,486","57,895.86"
Dhubri,88,42,165.71,0,0,0,0,3,18.58,442,"4,569.95","1,774","5,886.97","19,617","65,816.31","21,878","76,457.52"
Dibrugarh,186,54,314.57,59,1472.26,0,0,37,699.91,"1,427","22,106.97","5,299","28,196.12","46,275","373,348.91","53,151","426,138.74"
Dima Hasao,33,2,2.36,57,541.64,0,0,2,42.76,65,729.38,810,"4,746.27","4,038","19,014.90","4,974","25,077.31"
Goalpara,70,34,65.9,55,5969.44,0,0,18,174.56,245,"2,804.42","1,071","3,616.84","12,230","48,754.46","13,653","61,385.62"
Golaghat,126,45,"1,315.61",1,8.62,0,0,24,308.36,634,"7,538.12","2,253","9,335.93","25,723","104,422.71","28,680","122,929.35"
Hailakandi,48,7,13.70,1,292.99,0,0,2,146.07,149,"1,434.64",968,"2,245.36","6,327","22,102.00","7,454","26,234.76"
Hojai,65,35,38.63,0,0,0,0,3,38.59,176,"1,804.71","1,372","4,835.90","13,070","41,779.27","14,656","48,497.10"
Jorhat,143,30,145.09,338,34060.66,0,0,81,2218.47,"1,754","17,096.18","3,784","17,052.66","33,759","131,804.78","39,746","202,377.84"
Kamrup Metro,179,66,"1,687.03",20,141.2,0,0,32,466.98,"1,760","16,603.45","3,353","13,248.27","42,769","215,010.05","48,000","247,156.98"
Karbi Anglong,62,7,42.95,54,"1,000.47",0,0,17,91.48,91,"1,010.57","1,543","8,007.09","10,699","44,356.34","12,411","54,508.90"
Kokrajhar,59,21,40.12,1,3.5,0,0,7,110.64,439,"4,778.44","1,493","5,740.90","15,762","69,871.71","17,723","80,545.31"
Lakhimpur,91,33,233.36,6,148.15,0,0,11,105.87,878,"9,783.46","2,319","10,797.81","20,572","85,825.56","23,819","106,894.21"
Majuli,16,-,-,0,0,0,0,0,0,98,963.90,326,"2,219.28","1,678","9,150.28","2,102","12,333.46"
Morigaon,70,29,210.76,4,58.54,0,0,4,36.47,311,"3,320.36","1,510","7,561.00","9,210","29,618.24","11,068","40,805.37"
Nagaon,156,409,699.12,3,70,0,0,23,399.17,"1,310","15,730.87","3,224","14,518.23","38,693","143,748.72","43,662","175,166.11"
Nalbari,85,13,35.55,78,2988.37,0,0,28,270.23,706,"9,856.46","2,346","10,356.05","15,960","54,784.46","19,131","78,291.12"
Sivasagar,104,9,107.93,50,717.69,0,0,17,361.15,580,"5,835.53","2,517","11,532.44","27,992","98,805.46","31,165","117,360.20"
Sonitpur,135,33,347.32,0,0,0,0,69,612.35,"1,347","19,383.84","2,916","12,319.24","28,810","117,922.01","33,175","150,584.76"
South Salmara,16,0,0,0,0,0,0,0,0,24,216.92,510,759.09,"1,201","5,707.91","1,735","6,683.92"
Tamulpur,21,0,0,0,0,0,0,0,0,63,441.43,216,485.67,"2,651","10,463.27","2,930","11,390.37"
Tinsukia,151,23,"1,041.53",9,625.44,0,0,14,178.12,760,"11,627.22","3,104","14,243.85","25,194","108,720.13","29,104","136,436.29"
Udalguri,56,1,11.75,0,0,0,0,7,84.99,297,"3,443.21",642,"1,923.50","7,966","37,309.00","8,913","42,772.45"
West Karbi Anglong,21,0,0,0,0,0,0,0,0,13,36.53,220,"1,497.23","1,675","7,509.73","1,908","9,043.49"
