district,Lead Bank Name,Jun-24,Sept'24,Dec'24,Mar-25
Baksa,SBI,25.09.2024,17.12.2024,26.03.2025,
Barpeta,UCO,04.10.2024,30.12.2024,29.03.2025,
Biswanath,UCO,04.10.2024,05.12.2024,21.03.2025,
Bongaigaon,SBI,30.09.2024,13.12.2024,19.03.2025,11.06.2025
Cachar,PNB,06.09.2024,03.12.2025,21.03.2025,
Charaideo,PNB,12.09.2024,23.12.2024,05.03.2025,
Chirang,SBI,05.09.2024,06.03.2025,06.03.2025,14.06.2025
Darrang,UCO,09.10.2024,23.12.2024,10.03.2025,
Dhemaji,PNB,08.10.2024,20.12.2024,26.03.2025,
Dhubri,UCO,20.09.2024,05.02.2025,22.05.2025,22.05.2025
Dibrugarh,PNB,20.08.2024,18.12.2024,19.03.2025,
Dima Hasao,SBI,18.09.2024,17.12.2024,12.03.2025,
Goalpara,UCO,20.09.2024,19.12.2024,27.03.2025,
Golaghat,PNB,10.09.2024,20.12.2024,18.03.2025,
Hailakandi,PNB,20.09.2024,27.12.2024,24.03.2025,17.06.2025
Hojai,PNB,13.09.2024,10.12.2024,18.03.2025,
Jorhat,PNB,12.09.2024,17.12.2024,27.03.2025,
Kamrup Metro,UCO,27.09.2024,07.12.2024,18.03.2025,
Kamrup Rural,UCO,20.09.2024,17.12.2024,10.04.2025,13.06.2025
Karbi Anglong,SBI,06.09.2024,12.12.2025,26.03.2025,
Kokrajhar,UCO,07.10.2024,23.12.2024,17.03.2025,
Lakhimpur,PNB,18.09.2024,23.12.2024,20.03.2025,13.06.2025
Majuli,PNB,20.10.2024,20.10.2024,26.03.2025,
Morigaon,PNB,18.09.2024,17.01.2025,04.04.2025,
Nagaon,PNB,13.09.2024,13.12.2025,08.04.2025,13.06.2025
Nalbari,UCO,26.09.2024,12.12.2025,13.02.2025,
Sivasagar,PNB,09.09.2024,12.12.2024,26.03.2025,
Sonitpur,UCO,28.08.2024,24.12.2024,28.03.2025,
South Salmara,UCO,25.09.2024,27.12.2024,06.03.2025,
Tamulpur,SBI,26.07.2024,08.01.2025,28.03.2025,
Tinsukia,PNB,09.08.2024,21.12.2024,27.03.2025,
Udalguri,SBI,20.08.2024,30.10.2024,21.02.2025,
West Karbi Anglong,SBI,06.09.2024,12.12.2025,26.03.2025,
