District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,34,"25,698","2,29,425","18,942","1,15,039","3,32,236","93,837","17,509","1,58,246"
Baksa,36,"53,447","2,35,488","36,210","1,80,208","3,55,502","1,33,365","24,499","2,58,154"
Barpeta,94,"1,57,039","9,93,319","1,01,385","6,19,206","15,61,868","4,70,135","86,758","8,63,003"
Biswanath,61,"75,495","3,75,502","48,054","2,68,508","5,66,017","1,89,908","50,526","3,94,529"
Bongaigaon,68,"71,709","4,90,126","51,026","2,90,277","6,92,159","2,24,195","36,080","3,98,066"
Cachar,175,"1,54,218","12,86,819","1,01,889","4,83,592","18,49,637","3,59,144","71,708","7,09,518"
Charaideo,37,"37,936","2,45,074","26,688","1,43,820","3,39,805","1,14,618","27,466","2,09,222"
Chirang,39,"54,854","2,80,837","39,841","2,16,122","4,47,621","1,61,087","20,851","2,91,827"
Darrang,70,"96,240","6,85,487","64,945","3,76,567","9,83,573","2,78,580","53,243","5,26,050"
Dhemaji,52,"92,445","4,29,573","57,164","3,02,436","6,47,835","2,10,402","66,172","4,61,053"
Dhubri,89,"1,35,311","11,07,491","92,170","5,78,597","16,12,108","4,40,403","86,137","8,00,045"
Dibrugarh,188,"1,46,236","9,69,909","94,768","4,90,310","14,11,252","3,53,770","85,271","7,21,817"
Dima Hasao,34,"24,810","1,17,446","15,301","74,474","1,77,945","50,616","9,462","1,08,746"
Goalpara,70,"92,317","6,09,269","59,203","3,78,689","9,66,790","2,95,075","57,391","5,28,397"
Golaghat,127,"1,14,682","7,24,106","71,494","3,85,559","10,15,393","2,59,063","67,920","5,68,161"
Hailakandi,48,"55,044","4,52,812","32,695","1,73,589","6,61,507","1,37,969","30,888","2,59,521"
Hojai,66,"1,01,044","6,88,424","72,374","3,39,438","9,62,422","2,35,477","40,062","4,80,544"
Jorhat,144,"1,06,299","7,95,054","67,225","3,53,328","11,02,746","2,65,268","55,736","5,15,363"
Kamrup Metro,181,"1,63,159","11,34,437","1,12,667","5,91,928","16,11,260","4,14,672","78,485","8,33,572"
Karbi Anglong,63,"67,731","2,14,034","47,232","1,89,296","3,47,733","1,42,544","50,369","3,07,396"
Kokrajhar,60,"91,306","5,22,932","62,229","3,76,346","8,70,236","2,81,118","36,706","5,04,358"
Lakhimpur,92,"1,16,923","6,13,113","77,941","4,18,452","9,12,805","3,06,155","66,879","6,02,254"
Majuli,17,"11,100","1,40,637","8,000","44,769","1,85,098","36,744","12,428","68,297"
Morigaon,70,"63,231","8,14,645","44,854","2,56,079","10,63,293","1,86,637","44,448","3,63,758"
Nagaon,156,"1,95,295","12,83,974","1,33,715","7,77,793","19,55,394","5,65,248","1,11,382","10,84,470"
Nalbari,87,"80,262","5,54,110","53,565","3,01,165","8,14,229","2,25,054","34,338","4,15,765"
Sivasagar,105,"96,839","5,13,949","64,391","2,96,484","7,40,047","2,08,124","40,408","4,33,731"
Sonitpur,136,"1,23,490","8,81,347","83,615","4,27,338","12,35,272","3,13,492","70,570","6,21,398"
South Salmara,17,"13,060","1,45,031","7,284","67,000","2,41,067","51,423","9,694","89,754"
Tamulpur,21,"35,846","1,78,906","25,318","1,33,674","3,01,656","91,470","17,729","1,87,249"
Tinsukia,152,"1,32,816","10,39,345","91,716","4,10,486","14,49,013","3,09,547","68,223","6,11,525"
Udalguri,56,"1,03,981","5,05,051","73,142","3,79,429","8,92,284","2,77,107","39,118","5,22,528"
West Karbi Anglong,21,"21,338","74,964","15,793","69,782","1,32,635","54,164","18,199","1,09,319"
