district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bajali,34,"2,45,64,927","3,94,947.87",140,57.97,"4,972",645.38,"2,60,828","8,41,201.15","2,85,495","13,518.47","1,30,522","3,330.25"
Baksa,36,"2,52,12,306","3,23,575.10",296,705.40,52,3.95,"2,36,700","19,900.15","2,08,434","8,887.34","78,736","2,070.21"
Barpeta,93,"11,30,16,458","18,66,476.01","1,716","10,127.32","19,727","1,820.04","10,06,439","31,07,518.74","6,13,932","33,942.92","2,35,396","6,013.39"
Biswanath,61,"5,49,85,262","6,67,607.62",310,"2,307.88","4,766",948.85,"6,74,014","12,35,227.48","5,41,715","27,723.94","1,58,827","3,737.18"
Bongaigaon,68,"5,57,55,741","9,52,259.43",588,"4,360.93","17,241","1,653.25","5,06,991","29,05,989.46","6,78,937","35,892.81","2,40,596","6,301.79"
Cachar,172,"12,52,63,020","19,90,651.78","1,451","6,781.56","67,635","3,382.68","13,81,230","25,42,538.17","15,05,149","78,502.19","5,64,283","14,387.26"
Charaideo,37,"2,81,09,290","3,20,582.23",283,720.10,"4,289",359.44,"3,93,670","4,22,828.46","2,60,141","9,623.70","70,609","2,049.43"
Chirang,39,"2,95,64,591","4,55,852.69",442,751.73,"2,625",441.83,"2,34,734","5,64,402.14","1,54,012","7,320.18","1,89,135","4,710.08"
Darrang,70,"6,15,10,611","11,08,912.83","1,195","10,450.99","18,930","2,206.87","6,09,707","31,85,796.10","5,59,513","28,117.09","1,29,813","3,464.23"
Dhemaji,51,"6,48,49,774","7,84,462.23",719,"5,110.90","9,864",957.38,"5,15,293","15,15,181.28","3,89,284","20,888.55","1,20,178","3,183.35"
Dhubri,88,"9,54,22,804","15,72,589.39","1,885","13,383.25","25,913","1,379.70","11,80,773","19,78,707.12","4,49,757","25,446.30","1,61,617","5,473.06"
Dibrugarh,186,"13,56,11,629","25,11,242.85","1,194",966.00,"29,701","2,332.50","14,46,206","22,35,673.03","26,28,294","1,13,974.87","8,37,823","19,409.33"
Dima Hasao,33,"2,22,09,460","2,84,936.51",54,2.46,"2,012",169.96,"1,15,911","4,43,094.86","2,03,082","10,707.76","45,314","1,663.43"
Goalpara,70,"6,34,60,617","12,02,302.84","1,643","21,451.43","8,580","1,348.61","7,48,595","23,45,494.22","3,74,704","27,031.92","1,14,662","3,636.10"
Golaghat,126,"9,86,59,831","12,41,896.94",766,"2,670.46","42,939","1,425.70","11,15,234","11,63,204.32","13,91,787","56,539.99","3,37,689","8,702.02"
Hailakandi,48,"4,09,72,788","5,82,934.19",815,"3,689.49","2,187",515.27,"3,66,720","4,32,512.57","2,94,124","18,187.17","61,930","1,907.57"
Hojai,65,"8,03,40,840","12,68,804.23",641,17.75,"14,428","1,661.45","6,23,189","15,69,994.61","6,16,708","31,794.28","1,06,893","3,187.34"
Jorhat,143,"9,42,33,991","22,34,747.02","2,545",719.56,"59,142","3,094.69","11,15,794","14,25,539.90","18,08,998","71,499.30","7,90,118","17,870.51"
Kamrup,179,"11,80,06,725","19,57,164.34","1,184","10,488.38","62,118","3,268.90","8,63,548","36,92,617.20","12,69,656","71,670.17","4,48,801","13,213.40"
Kamrup Metro,471,"36,74,49,942","1,79,07,759.44","2,098",245.23,"5,16,610","18,223.49","60,13,318","1,97,36,450.66","89,68,676","4,30,487.42","32,78,058","79,241.79"
Karbi Anglong,62,"5,52,22,036","6,63,394.17",79,4.33,"3,075",380.09,"4,80,979","4,58,757.51","4,00,782","22,819.91","1,54,067","4,091.10"
Kokrajhar,59,"5,34,32,252","8,07,386.71",872,"4,703.15","5,286",928.16,"4,21,546","20,28,052.06","3,20,277","20,393.40","2,25,708","6,960.43"
Lakhimpur,91,"9,74,63,636","11,64,552.10",979,"10,570.22","8,615","1,271.21","11,19,273","17,53,517.44","7,95,495","41,763.57","1,74,528","4,571.97"
Majuli,16,"1,23,14,412","1,37,050.66",72,331.86,"2,526",294.09,"1,32,525","2,18,475.55","1,47,916","6,741.98","22,728",580.92
Morigaon,70,"5,29,69,477","8,94,986.49","1,020","4,331.29","25,835",995.26,"6,48,692","7,64,239.57","5,97,238","31,277.16","1,09,898","2,701.69"
