District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bajali,34,"1,587","7,002.82","3,452","9,791.32",13,13.40,23,20.96,0.21
Baksa,36,"2,116","8,703.49","4,790","13,926.85",41,98.92,210,431.05,3.10
Barpeta,93,"5,880","24,868.18","11,232","29,806.49",254,358.30,389,276.61,0.93
Biswanath,61,"4,935","18,066.01","9,522","26,965.23",179,416.70,118,127.12,0.47
Bongaigaon,68,"3,337","13,772.78","6,482","19,054.78",228,434.44,77,83.24,0.44
Cachar,172,"4,645","16,432.98","9,572","23,511.30",381,872.26,147,107.03,0.46
Charaideo,37,"1,543","6,470.66","4,558","13,208.56",63,90.56,66,44.59,0.34
Chirang,39,"2,180","6,641.94","4,195","11,950.89",168,378.62,105,72.27,0.60
Darrang,70,"4,484","17,274.79","8,232","22,834.60",251,449.92,103,95.70,0.42
Dhemaji,51,"4,535","17,013.92","8,462","23,888.80",171,304.86,106,39.19,0.16
Dhubri,88,"6,114","18,991.45","10,481","23,503.03",332,487.64,412,238.21,1.01
Dibrugarh,186,"5,894","23,484.03","10,210","31,624.79",360,901.96,264,187.39,0.59
Dima Hasao,33,521,"1,425.18","1,410","3,663.97",86,204.54,20,29.92,0.82
Goalpara,70,"3,611","15,003.35","7,990","24,174.81",239,590.49,105,58.59,0.24
Golaghat,126,"6,002","25,001.63","12,175","39,630.81",247,559.14,123,143.10,0.36
Hailakandi,48,"1,812","5,506.20","4,036","8,433.32",337,454.74,284,235.25,2.79
Hojai,65,"3,302","12,256.15","6,224","15,271.96",177,280.10,65,42.59,0.28
Jorhat,143,"4,134","16,759.16","9,021","27,200.34",162,280.03,52,61.05,0.22
Kamrup Metro,179,"7,781","33,156.11","15,176","44,883.35",517,"1,464.46",391,303.94,0.68
Karbi Anglong,62,"2,151","8,996.50","7,250","26,198.35",52,61.64,69,31.41,0.12
Kokrajhar,59,"4,191","14,670.89","6,682","18,037.97",364,470.30,99,123.93,0.69
Lakhimpur,91,"6,271","23,841.04","11,901","31,317.07",291,511.49,140,77.65,0.25
Majuli,16,878,"4,011.06","2,292","5,660.69",59,92.90,52,62.97,1.11
Morigaon,70,"3,722","15,699.54","7,796","19,831.82",142,330.54,290,197.56,1.00
Nagaon,156,"9,688","39,798.29","18,493","50,100.32",516,941.66,304,260.96,0.52
Nalbari,85,"4,558","21,402.06","8,850","27,851.68",206,523.93,159,135.08,0.48
Sivasagar,104,"2,786","10,354.28","6,843","18,585.37",156,240.23,76,44.57,0.24
Sonitpur,135,"5,931","25,064.33","10,506","30,311.95",271,538.79,285,124.11,0.41
South Salmara,16,408,"1,247.83","1,166","2,706.75",30,39.32,149,46.14,1.70
Tamulpur,21,"1,737","6,939.43","3,611","11,077.37",82,214.91,15,19.17,0.17
Tinsukia,151,"4,798","21,154.65","9,338","30,926.53",173,360.93,192,124.26,0.40
Udalguri,56,"4,911","18,289.63","8,425","22,041.73",289,515.62,110,159.75,0.72
West Karbi Anglong,21,981,"3,951.69","2,783","8,755.41",39,59.81,53,34.19,0.39
