district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Bajali,34,27,11,117.95,25.87,57,30,115.31,39.53,120,48,387.22,135.54
Baksa,36,12,9,39.54,29.53,32,14,50.45,20.47,76,35,283.07,139.92
Barpeta,93,113,69,459.45,220.26,194,110,351.06,206.55,485,230,"1,854.45",848.98
Biswanath,61,78,50,326.50,226.53,145,91,301.87,190.39,263,150,960.97,526.75
Bongaigaon,68,51,25,411.05,189.15,92,44,416.57,194.27,206,84,"1,127.69",502.08
Cachar,172,282,79,871.14,209.35,696,170,"1,089.03",323.41,"1,407",314,"4,289.20","1,049.02"
Charaideo,37,33,18,114.94,90.16,51,25,102.18,51.53,100,45,320.47,164.09
Chirang,39,22,10,61.23,20.27,44,18,85.58,37.51,79,23,270.86,46.23
Darrang,70,59,35,202.05,103.60,151,77,265.60,165.65,435,212,"1,593.04",788.35
Dhemaji,51,54,27,153.03,87.83,114,59,217.84,125.49,224,110,742.22,389.47
Dhubri,88,56,29,158.63,81.06,109,50,180.42,86.99,228,76,877.58,264.02
Dibrugarh,186,184,133,965.01,577.36,420,262,"1,038.57",593.24,"1,052",523,"4,429.96","2,102.94"
Dima Hasao,33,9,5,53.35,6.55,20,10,61.30,12.77,46,23,203.44,90.68
Goalpara,70,29,17,203.25,92.91,77,46,172.08,86.40,177,79,822.66,311.42
Golaghat,126,81,46,252.06,146.70,207,99,366.77,161.02,457,217,"1,827.52",769.89
Hailakandi,48,13,6,33.99,15.39,42,16,42.53,17.22,98,33,278.21,104.04
Hojai,65,44,21,102.65,56.65,80,38,131.84,65.07,185,72,725.34,257.71
Jorhat,143,117,55,653.57,303.91,395,205,939.85,472.94,"1,009",477,"4,625.34","2,330.44"
Kamrup Metro,179,376,172,"1,417.96",669.75,943,396,"1,835.92",796.46,"1,740",667,"6,856.28","2,678.24"
Karbi Anglong,62,19,10,85.90,63.92,41,18,78.94,50.73,118,50,359.07,178.70
Kokrajhar,59,42,18,180.92,42.48,87,43,185.99,72.34,174,67,737.97,249.43
Lakhimpur,91,99,58,245.89,151.15,215,116,358.89,207.71,466,225,"1,543.64",666.57
Majuli,16,11,5,20.91,9.47,22,8,30.19,12.38,39,9,98.75,18.73
Morigaon,70,41,24,104.83,69.00,94,46,130.02,66.49,181,77,661.46,249.69
Nagaon,156,111,53,832.43,496.54,207,96,677.83,409.20,459,187,"2,157.56","1,046.67"
Nalbari,85,89,47,370.67,154.09,192,105,396.59,176.58,464,208,"1,713.70",743.79
Sivasagar,104,106,59,588.30,255.90,207,106,583.56,281.81,430,214,"1,859.27",846.51
Sonitpur,135,130,90,736.23,253.40,296,168,810.97,365.16,675,313,"3,345.74","1,452.20"
South Salmara,16,5,1,10.35,1.82,14,3,16.91,4.15,24,5,76.18,14.18
Tamulpur,21,37,26,63.83,47.43,73,51,109.28,81.19,103,65,288.39,195.21
Tinsukia,151,103,43,392.93,167.10,251,111,537.23,226.39,695,278,"2,843.63","1,172.46"
Udalguri,56,70,40,248.10,110.21,173,116,314.89,194.98,402,266,"1,390.58",865.52
West Karbi Anglong,21,4,1,3.79,0.51,8,3,6.31,2,18,5,66.60,18.30
