District,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Agra,75.0,51.25,787.44,,,,,,,,,
Aligarh,37.0,4.39,418.2,,,,,,,,,
Ambedkar Nagar,168.0,59.78,302.98,,,,,,,,,
Amethi,75.0,30.86,141.78,,,,,,,,,
Amroha,321241.83,71136.76,22.14,,,,,,,,,
Auraiya,25.0,4.15,352.97,,,,,,,,,
Ayodhya,112.0,55.03,611.89,,,,,,,,,
Azamgarh,58.0,14.31,738.44,,,,,,,,,
Baghpat,98.0,47.03,268.1,,,,,,,,,
Bahraich,64.0,10.56,2859.49,,,,,,,,,
Ballia,17.0,6.62,1019.97,,,,,,,,,
Balrampur,12.0,0.29,307.2,,,,,,,,,
Banda,201908.0,21293.56,10.55,,,,,,,,,
Barabanki,8.0,1.03,245.2,,,,,,,,,
Bareilly,21904.0,60.37,59.28,2148.0,39.17,34.85,382.0,30.43,26.1,24434.0,129.97,120.23
Basti,22.0,1.84,690.35,,,,,,,,,
Bhadohi,6.0,6.91,167.19,,,,,,,,,
Bijnor,29551.0,81.66,80.85,999.0,22.19,16.83,386.0,32.65,22.0,30936.0,136.5,119.68
Budaun,33.0,3.01,1010.57,,,,,,,,,
Bulandshahr,152.0,36.35,488.71,,,,,,,,,
Chandauli,88.0,22.44,536.85,,,,,,,,,
Chitrakoot,6.0,0.37,1021.89,,,,,,,,,
Deoria,40.0,14.81,1857.32,,,,,,,,,
Etah,4.0,0.29,237.92,,,,,,,,,
Etawah,23968.0,1.12,0.72,268.0,7.17,4.99,83.0,7.19,5.79,24319.0,15.48,11.51
Farrukhabad,18.0,3.37,178.59,,,,,,,,,
Fatehpur,157.0,59.84,975.22,,,,,,,,,
Firozabad,7.0,14.56,166.5,,,,,,,,,
Gautam Buddha Nagar,16.0,3.49,166.32,,,,,,,,,
Ghaziabad,71.0,13.6,440.61,,,,,,,,,
Ghazipur,5.0,1.89,598.81,,,,,,,,,
Gonda,1206.0,1.8,1.63,297.0,7.44,6.1,98.0,8.1,7.35,1601.0,17.34,15.08
Gorakhpur,88858.0,242.62,239.83,3411.0,52.59,45.33,663.0,55.08,41.69,92932.0,350.29,326.86
Hamirpur,40.0,4.44,5561.41,,,,,,,,,
Hapur,11884.0,37.34,37.02,378.0,8.27,7.09,120.0,9.5,8.76,12382.0,55.11,52.86
Hardoi,63.0,12.42,750.02,,,,,,,,,
Hathras,6751.0,20.46,20.21,692.0,9.53,8.33,108.0,9.18,8.0,7551.0,39.18,36.55
Jalaun,1901.0,4.05,3.65,189.0,5.32,4.72,70.0,5.93,5.17,2160.0,15.3,13.53
Jaunpur,31406.0,97.93,91.32,3831.0,50.25,47.65,197.0,15.5,13.45,35434.0,163.67,152.42
Jhansi,77.0,42.43,800.65,,,,,,,,,
Kannauj,622.0,1.61,1.4,690.0,13.93,9.88,71.0,5.75,3.26,1383.0,21.29,14.54
Kanpur Dehat,860.0,1.61,1.37,444.0,11.79,9.18,100.0,8.17,7.43,1404.0,21.57,17.97
Kanpur Nagar,8852.0,17.67,16.13,2359.0,62.43,55.62,706.0,56.91,49.14,11917.0,137.0,120.89
Kaushambi,91.0,38.48,378.01,,,,,,,,,
Kheri,541450.0,213634.0,39.46,,,,,,,,,
Kushi Nagar,7.0,0.61,1805.91,,,,,,,,,
Lalitpur,68.0,28.97,492.21,,,,,,,,,
Lucknow,14510.0,35.53,34.28,2998.0,72.15,63.93,929.0,74.75,63.68,18437.0,182.43,161.89
Maharajganj,21.0,4.19,935.44,,,,,,,,,
Mahoba,956.0,2.81,2.78,55.0,1.55,1.31,13.0,1.01,0.85,1024.0,5.37,4.94
Mainpuri,61.0,28.08,331.03,,,,,,,,,
Mathura,23692.0,67.4,66.7,2129.0,30.9,28.04,261.0,2222.0,19.96,26082.0,120.52,114.7
Mau,17603.0,50.09,49.58,1262.0,17.79,16.7,124.0,10.59,911.0,18989.0,78.47,75.38
Meerut,14842.0,4165.0,40.13,1665.0,35.69,28.36,600.0,49.98,36.43,17107.0,127.32,104.92
Mirzapur,309.0,42.38,1817.77,,,,,,,,,
Moradabad,5415.0,14.53,14.25,1168.0,26.75,21.7,430.0,34.08,27.43,7013.0,75.36,63.39
Muzaffarnagar,35619.0,87.91,86.66,1263.0,24.57,20.14,242.0,20.68,16.97,37124.0,133.16,123.76
Pilibhit,409370.62,50301.04,12.29,,,,,,,,,
Pratapgarh,7024.0,19.08,18.6,758.0,15.3,12.62,135.0,11.24,9.19,7917.0,45.62,40.41
Prayagraj,401.0,125.12,1298.73,,,,,,,,,
Rae Bareli,9142.0,23.73,23.22,639.0,18.51,15.69,172.0,16.65,14.88,9953.0,58.89,53.79
Rampur,1724.0,5.56,5.3,440.0,9.15,8.02,92.0,8.27,7.1,2256.0,22.98,20.43
Saharanpur,28575.0,77.95,76.58,1464.0,24.37,20.72,319.0,26.36,22.11,30358.0,128.68,119.41
Sambhal,0.0,0.0,9.83,,,,,,,,,
Sant Kabeer Nagar,4127.0,12.99,12.78,381.0,9.77,7.5,162.0,14.06,11.05,4670.0,36.81,31.33
Shahjahanpur,6992.0,19.02,18.77,428.0,10.79,8.99,119.0,10.76,9.58,7539.0,40.57,37.33
Shamli,2.0,0.19,2.23,,,,,,,,,
Shravasti,20.0,1.55,1726.88,,,,,,,,,
Siddharth Nagar,9372.0,6.59,6.34,345.0,9.94,7.53,139.0,11.87,9.76,9856.0,28.4,23.63
Sitapur,6397.0,16.01,15.83,334.0,7.28,6.5,109.0,9.53,8.67,6840.0,32.83,31.0
Sonbhadra,31511.0,90.27,89.5,770.0,10.56,8.94,113.0,9.37,7.21,32394.0,110.2,105.65
Sultanpur,9266.0,26.33,25.95,800.0,15.66,13.51,187.0,16.43,13.49,10253.0,58.42,5295.0
Unnao,5656.0,12.83,12.36,898.0,21.46,17.07,162.0,13.86,9.63,6716.0,48.16,39.06
Varanasi,51.0,19.86,784.77,,,,,,,,,
