District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,463.0,2975.31,476.0,72.04
Aligarh,325.0,1318.01,289.0,33.45
Ambedkar Nagar,136.0,560.6,61.0,6.63
Amethi,42.0,238.45,27.0,2.41
Amroha,44.0,8.61,40.0,4.43
Auraiya,34.0,122.58,25.0,2.75
Ayodhya,215.0,913.68,129.0,16.07
Azamgarh,960.0,2696.98,52.0,6.55
Bahraich,40.0,192.99,23.0,2.8
Ballia,145.0,557.3,45.0,5.23
Balrampur,52.0,144.35,,
Banda,46.0,154.21,25.0,3.1
Barabanki,222.0,1197.07,65.0,8.5
Bareilly,10418.0,39777.04,230.0,25.56
Basti,83.0,378.01,38.0,5.5
Bhadohi,405.0,729.04,39.0,4.96
Bijnor,291.0,1212.82,162.0,12.6
Budaun,107.0,241.38,104.0,5.78
Bulandshahr,72.0,248.88,204.0,17.45
Chandauli,287.0,755.6,35.0,4.45
Chitrakoot,14.0,39.48,5.0,0.42
Deoria,150.0,751.07,69.0,8.97
Etah,66.0,270.55,55.0,6.35
Etawah,37.0,96.17,55.0,7.25
Farrukhabad,79.0,288.67,59.0,7.01
Fatehpur,82.0,393.06,54.0,6.91
Firozabad,101.0,576.98,66.0,6.49
Gautam Buddha Nagar,297.0,3664.82,258.0,43.76
Ghaziabad,368.0,3236.53,407.0,61.05
Ghazipur,647.0,1850.46,37.0,5.07
Gonda,68.0,311.49,40.0,4.21
Gorakhpur,275.0,1508.84,208.0,30.58
Hamirpur,39.0,128.92,14.0,1.91
Hapur,6.0,42.75,27.0,6.34
Hardoi,127.0,363.92,109.0,9.12
Hathras,26.0,171.38,58.0,6.5
Jalaun,39.0,128.25,32.0,3.73
Jaunpur,738.0,1712.3,46.0,4.87
Jhansi,174.0,646.35,160.0,14.52
Kannauj,63.0,225.0,21.0,2.49
Kanpur Dehat,70.0,250.65,36.0,5.32
Kanpur Nagar,627.0,4515.95,442.0,64.34
Kasganj,16.0,2.46,14.0,0.91
Kaushambi,96.0,281.36,17.0,1.58
Kheri,93.0,332.85,,
Kushi Nagar,54.0,226.56,32.0,5.41
Lalitpur,21.0,107.59,64.0,4.99
Lucknow,959.0,7539.24,595.0,94.45
Maharajganj,102.0,362.52,47.0,5.32
Mahoba,10.0,40.76,22.0,3.75
Mainpuri,45.0,201.45,30.0,4.12
Mathura,198.0,878.84,170.0,23.85
Mau,209.0,661.09,51.0,8.59
Meerut,340.0,2223.85,376.0,60.93
Mirzapur,122.0,555.9,68.0,11.22
Moradabad,332.0,1120.96,180.0,23.41
Muzaffarnagar,199.0,859.99,142.0,20.48
Pilibhit,53.0,8.29,51.0,5.51
Pratapgarh,57.0,294.97,81.0,9.08
Prayagraj,337.0,1689.86,257.0,36.25
Rae Bareli,63.0,344.9,89.0,9.08
Rampur,74.0,240.16,53.0,4.21
Saharanpur,186.0,994.67,168.0,18.2
Sambhal,29.0,78.99,20.0,1.74
Sant Kabeer Nagar,50.0,236.45,24.0,4.0
Shahjahanpur,61.0,147.89,,
Shravasti,18.0,34.4,8.0,0.74
Siddharth Nagar,92.0,278.52,34.0,3.41
Sitapur,111.0,306.72,35.0,4.31
Sonbhadra,77.0,364.89,27.0,3.5
Sultanpur,5247.0,29597.38,109.0,13.09
Unnao,66.0,289.6,77.0,7.14
Varanasi,488.0,2931.04,331.0,55.23
