District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,632.0,10.0,45.0,7.0,694.0,1264.0
Aligarh,561.0,6.0,24.0,1.0,592.0,1122.0
Ambedkar Nagar,149.0,6.0,19.0,1.0,175.0,298.0
Amethi,71.0,0.0,4.0,0.0,75.0,142.0
Auraiya,104.0,2.0,5.0,2.0,113.0,208.0
Ayodhya,320.0,5.0,31.0,1.0,357.0,640.0
Azamgarh,194.0,0.0,22.0,0.0,216.0,388.0
Baghpat,164.0,1.0,4.0,0.0,169.0,328.0
Bahraich,262.0,3.0,21.0,1.0,287.0,524.0
Ballia,174.0,0.0,6.0,0.0,180.0,348.0
Balrampur,66.0,2.0,3.0,0.0,71.0,132.0
Banda,187.0,1.0,19.0,1.0,208.0,374.0
Barabanki,531.0,0.0,51.0,0.0,582.0,1062.0
Bareilly,664.0,12.0,64.0,5.0,745.0,1328.0
Basti,105.0,0.0,7.0,0.0,112.0,210.0
Bhadohi,139.0,0.0,9.0,0.0,148.0,278.0
Bijnor,329.0,0.0,17.0,7.0,353.0,658.0
Budaun,191.0,2.0,11.0,2.0,206.0,382.0
Bulandshahr,330.0,5.0,31.0,11.0,377.0,660.0
Chandauli,128.0,1.0,5.0,1.0,135.0,256.0
Chitrakoot,40.0,0.0,4.0,0.0,44.0,80.0
Deoria,149.0,0.0,6.0,1.0,156.0,298.0
Etah,399.0,2.0,25.0,0.0,426.0,798.0
Etawah,107.0,1.0,7.0,0.0,115.0,214.0
Farrukhabad,365.0,0.0,28.0,1.0,394.0,730.0
Fatehpur,143.0,8.0,22.0,2.0,175.0,286.0
Firozabad,166.0,0.0,9.0,4.0,179.0,332.0
Gautam Buddha Nagar,272.0,3.0,14.0,4.0,293.0,544.0
Ghaziabad,585.0,9.0,13.0,5.0,612.0,1170.0
Ghazipur,207.0,2.0,9.0,1.0,219.0,414.0
Gonda,145.0,0.0,16.0,0.0,161.0,290.0
Gorakhpur,326.0,3.0,11.0,2.0,342.0,652.0
Hamirpur,58.0,1.0,7.0,1.0,67.0,116.0
Hapur,131.0,0.0,1.0,2.0,134.0,262.0
Hardoi,311.0,3.0,19.0,0.0,333.0,622.0
Jalaun,167.0,1.0,14.0,1.0,183.0,334.0
Jaunpur,184.0,0.0,9.0,3.0,196.0,368.0
Jhansi,134.0,1.0,6.0,1.0,142.0,268.0
Kannauj,140.0,0.0,11.0,1.0,152.0,280.0
Kanpur Dehat,123.0,3.0,14.0,0.0,140.0,246.0
Kanpur Nagar,541.0,8.0,32.0,4.0,585.0,1082.0
Kaushambi,89.0,1.0,9.0,0.0,99.0,178.0
Kheri,533.0,21.0,44.0,2.0,600.0,1066.0
Kushi Nagar,137.0,0.0,4.0,0.0,141.0,274.0
Lalitpur,41.0,0.0,1.0,0.0,42.0,82.0
Lucknow,835.0,10.0,18.0,6.0,869.0,1670.0
Mahoba,121.0,6.0,12.0,1.0,140.0,242.0
Mainpuri,188.0,0.0,25.0,1.0,214.0,376.0
Mathura,310.0,4.0,12.0,0.0,326.0,620.0
Mau,105.0,1.0,4.0,0.0,110.0,210.0
Meerut,661.0,3.0,22.0,5.0,691.0,1322.0
Mirzapur,227.0,3.0,21.0,1.0,252.0,454.0
Moradabad,697.0,2.0,31.0,9.0,739.0,1394.0
Muzaffarnagar,405.0,4.0,21.0,5.0,435.0,810.0
Pilibhit,216.0,9.0,16.0,1.0,242.0,432.0
Pratapgarh,270.0,3.0,26.0,1.0,300.0,540.0
Prayagraj,566.0,11.0,50.0,2.0,629.0,1132.0
Rae Bareli,386.0,6.0,23.0,1.0,416.0,772.0
Rampur,340.0,4.0,31.0,2.0,377.0,680.0
Saharanpur,422.0,8.0,24.0,7.0,461.0,844.0
Sant Kabeer Nagar,46.0,0.0,1.0,0.0,47.0,92.0
Shravasti,53.0,0.0,7.0,0.0,60.0,106.0
Siddharth Nagar,43.0,1.0,2.0,0.0,46.0,86.0
Sitapur,431.0,7.0,36.0,4.0,478.0,862.0
Sonbhadra,117.0,1.0,12.0,2.0,132.0,234.0
Sultanpur,277.0,7.0,28.0,0.0,312.0,554.0
Unnao,308.0,1.0,27.0,1.0,337.0,616.0
