District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,139.0,38.0,35.0,0.0,212.0,278.0
Aligarh,61.0,39.0,19.0,0.0,119.0,122.0
Ambedkar Nagar,217320.0,53937.0,271257.0,,,
Amethi,32.0,1.0,6.0,0.0,39.0,64.0
Auraiya,17.0,2.0,2.0,0.0,21.0,34.0
Ayodhya,67.0,5.0,13.0,0.0,85.0,134.0
Azamgarh,49.0,1.0,6.0,0.0,56.0,98.0
Baghpat,63.0,3.0,7.0,0.0,73.0,126.0
Bahraich,43.0,2.0,19.0,1.0,65.0,86.0
Ballia,20.0,2.0,2.0,0.0,24.0,40.0
Balrampur,3.0,0.0,0.0,0.0,3.0,6.0
Banda,36.0,1.0,20.0,0.0,57.0,72.0
Barabanki,45.0,17.0,12.0,0.0,74.0,90.0
Bareilly,117.0,4.0,11.0,0.0,132.0,234.0
Basti,10.0,0.0,0.0,0.0,10.0,20.0
Bhadohi,10.0,1.0,5.0,0.0,16.0,20.0
Bijnor,90.0,11.0,16.0,0.0,117.0,180.0
Budaun,26.0,2.0,6.0,0.0,34.0,52.0
Bulandshahr,96.0,11.0,27.0,0.0,134.0,192.0
Chandauli,23.0,1.0,6.0,0.0,30.0,46.0
Chitrakoot,9.0,1.0,3.0,0.0,13.0,18.0
Etah,31.0,4.0,15.0,0.0,50.0,62.0
Etawah,41.0,3.0,1.0,0.0,45.0,82.0
Farrukhabad,25.0,15.0,12.0,0.0,52.0,50.0
Fatehpur,41.0,4.0,4.0,0.0,49.0,82.0
Firozabad,34.0,6.0,5.0,0.0,45.0,68.0
Gautam Buddha Nagar,76.0,2.0,12.0,3.0,93.0,152.0
Ghaziabad,131.0,9.0,29.0,0.0,169.0,262.0
Ghazipur,35.0,0.0,4.0,0.0,39.0,70.0
Gonda,17.0,1.0,4.0,1.0,23.0,34.0
Gorakhpur,39.0,2.0,8.0,1.0,50.0,78.0
Hamirpur,12.0,0.0,2.0,0.0,14.0,24.0
Hapur,29.0,0.0,6.0,1.0,36.0,58.0
Hardoi,40.0,22.0,15.0,0.0,77.0,80.0
Jalaun,50.0,5.0,22.0,0.0,77.0,100.0
Jaunpur,40.0,1.0,10.0,0.0,51.0,80.0
Jhansi,26.0,4.0,9.0,0.0,39.0,52.0
Kannauj,20.0,17.0,11.0,0.0,48.0,40.0
Kanpur Dehat,34.0,0.0,0.0,0.0,34.0,68.0
Kanpur Nagar,161.0,12.0,26.0,0.0,199.0,322.0
Kaushambi,17.0,1.0,4.0,0.0,22.0,34.0
Kheri,76.0,13.0,16.0,0.0,105.0,152.0
Kushi Nagar,8.0,0.0,6.0,0.0,14.0,16.0
Lalitpur,14.0,0.0,2.0,0.0,16.0,28.0
Lucknow,201.0,18.0,54.0,1.0,274.0,402.0
Mahoba,19.0,11.0,21.0,0.0,51.0,38.0
Mainpuri,71.0,6.0,7.0,1.0,85.0,142.0
Mathura,85.0,7.0,21.0,0.0,113.0,170.0
Mau,17.0,0.0,4.0,0.0,21.0,34.0
Meerut,144.0,16.0,26.0,0.0,186.0,288.0
Mirzapur,59.0,4.0,25.0,0.0,88.0,118.0
Moradabad,65.0,3.0,7.0,0.0,75.0,130.0
Muzaffarnagar,95.0,7.0,18.0,0.0,120.0,190.0
Pilibhit,44.0,4.0,10.0,0.0,58.0,88.0
Pratapgarh,30.0,1.0,2.0,0.0,33.0,60.0
Prayagraj,50.0,10.0,19.0,1.0,80.0,100.0
Rae Bareli,68.0,6.0,7.0,2.0,83.0,136.0
Rampur,46.0,1.0,5.0,0.0,52.0,92.0
Saharanpur,71.0,6.0,14.0,1.0,92.0,142.0
Sambhal,151373.0,59103.0,210476.0,,,
Sant Kabeer Nagar,4.0,0.0,1.0,0.0,5.0,8.0
Shahjahanpur,54.0,2.0,7.0,0.0,63.0,108.0
Shravasti,8.0,0.0,2.0,0.0,10.0,16.0
Siddharth Nagar,9.0,0.0,0.0,0.0,9.0,18.0
Sitapur,59.0,3.0,26.0,0.0,88.0,118.0
Sonbhadra,33.0,5.0,13.0,0.0,51.0,66.0
Sultanpur,31.0,0.0,2.0,0.0,33.0,62.0
Unnao,35.0,11.0,11.0,1.0,58.0,70.0
Varanasi,72.0,2.0,12.0,0.0,86.0,144.0
