District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19,subscribers_fy20
Agra,5810.0,17773.0,16840.0,6940.0,6187.0,53550.0
Aligarh,7158.0,15555.0,13073.0,6251.0,4722.0,46759.0
Ambedkar Nagar,5024.0,14375.0,11348.0,9025.0,2626.0,42398.0
Amethi,570.0,1421.0,1205.0,394.0,296.0,3886.0
Amroha,4283.0,11532.0,9289.0,6285.0,2935.0,34324.0
Ayodhya,4772.0,16179.0,10372.0,7778.0,3524.0,42625.0
Azamgarh,4759.0,18736.0,18417.0,13544.0,5123.0,60579.0
Bahraich,2276.0,8571.0,7114.0,1852.0,3010.0,22823.0
Ballia,6104.0,13584.0,7641.0,3153.0,2260.0,32742.0
Balrampur,1992.0,5825.0,7518.0,3573.0,4852.0,23760.0
Banda,1914.0,11057.0,5239.0,1577.0,1976.0,21763.0
Barabanki,5190.0,14136.0,12089.0,7306.0,5966.0,44687.0
Bhadohi,2131.0,4428.0,4143.0,4347.0,1456.0,16505.0
Bijnor,3988.0,13506.0,11666.0,6130.0,4490.0,39780.0
Budaun,3567.0,10230.0,7993.0,4950.0,5886.0,32626.0
Bulandshahr,1640.0,9033.0,7948.0,1966.0,3166.0,23753.0
Chandauli,4008.0,7838.0,6210.0,4316.0,1690.0,24062.0
Chitrakoot,2079.0,6548.0,4724.0,1092.0,1371.0,15814.0
Deoria,3885.0,10646.0,5563.0,2261.0,1928.0,24283.0
Etah,2945.0,9422.0,10122.0,4658.0,2696.0,29843.0
Etawah,1786.0,4220.0,2576.0,812.0,858.0,10252.0
Farrukhabad,2626.0,7498.0,6563.0,4219.0,3791.0,24697.0
Fatehpur,9478.0,24279.0,17122.0,12200.0,3318.0,66397.0
Firozabad,2335.0,6316.0,5601.0,2429.0,1751.0,18432.0
Gautam Buddha Nagar,5725.0,18471.0,16847.0,7888.0,7833.0,56764.0
Ghaziabad,8011.0,18361.0,15594.0,5467.0,11113.0,58546.0
Ghazipur,4773.0,14784.0,9236.0,10466.0,2303.0,41562.0
Gonda,3653.0,10370.0,11682.0,5753.0,5929.0,37387.0
Gorakhpur,6938.0,19335.0,16251.0,7134.0,9020.0,58678.0
Hamirpur,1478.0,7730.0,6722.0,1675.0,1897.0,19502.0
Hapur,81.0,179.0,254.0,148.0,56.0,718.0
Hardoi,5043.0,15373.0,13573.0,5029.0,4886.0,43904.0
Hathras,930.0,3328.0,3703.0,1598.0,1482.0,11041.0
Jalaun,1591.0,8045.0,12016.0,4815.0,3373.0,29840.0
Jaunpur,7764.0,22822.0,14262.0,9769.0,3716.0,58333.0
Jhansi,2234.0,6909.0,5215.0,3442.0,3465.0,21265.0
Kannauj,2824.0,7302.0,6352.0,3283.0,2881.0,22642.0
Kanpur Dehat,7805.0,22324.0,11960.0,6787.0,5457.0,54333.0
Kanpur Nagar,5832.0,17191.0,15547.0,8822.0,7095.0,54487.0
Kasganj,49.0,136.0,95.0,11.0,0.0,291.0
Kaushambi,3109.0,10412.0,6636.0,2934.0,1193.0,24284.0
Kheri,3229.0,14336.0,12494.0,2700.0,3695.0,36454.0
Kushi Nagar,3026.0,8772.0,7431.0,3297.0,1651.0,24177.0
Lalitpur,1535.0,4702.0,3974.0,2305.0,2212.0,14728.0
Lucknow,8869.0,32789.0,29871.0,10631.0,15673.0,97833.0
Maharajganj,3180.0,7108.0,6411.0,1981.0,1047.0,19727.0
Mahoba,602.0,5851.0,5895.0,1729.0,1433.0,15510.0
Mainpuri,2128.0,3627.0,4293.0,2573.0,1617.0,14238.0
Mathura,1905.0,6724.0,6936.0,3035.0,2566.0,21166.0
Mau,2719.0,6930.0,6068.0,3707.0,1272.0,20696.0
Meerut,3104.0,14518.0,13787.0,3196.0,5451.0,40056.0
Mirzapur,3365.0,8988.0,11428.0,2794.0,2964.0,29539.0
Moradabad,8074.0,21764.0,18442.0,12263.0,4888.0,65431.0
Muzaffarnagar,2785.0,13869.0,11576.0,5501.0,7122.0,40853.0
Pilibhit,3694.0,10415.0,9799.0,5342.0,1703.0,30953.0
Pratapgarh,6107.0,14850.0,13070.0,6338.0,2559.0,42924.0
Rae Bareli,8872.0,29127.0,22947.0,10769.0,5291.0,77006.0
Rampur,3259.0,11450.0,9535.0,4321.0,2310.0,30875.0
Saharanpur,3536.0,14935.0,9758.0,4579.0,5030.0,37838.0
Sambhal,29.0,175.0,144.0,76.0,87.0,511.0
Sant Kabeer Nagar,1702.0,4880.0,8619.0,2931.0,1111.0,19243.0
Shahjahanpur,5463.0,17937.0,14155.0,9086.0,2179.0,48820.0
Shamli,13.0,41.0,21.0,61.0,38.0,174.0
Shravasti,601.0,2939.0,2960.0,803.0,866.0,8169.0
Siddharth Nagar,3452.0,8136.0,3938.0,2262.0,1193.0,18981.0
Sitapur,3579.0,10349.0,14049.0,2026.0,4491.0,34494.0
Sonbhadra,2128.0,4663.0,6105.0,1622.0,1915.0,16433.0
Sultanpur,9605.0,23187.0,17399.0,9718.0,3892.0,63801.0
Unnao,4298.0,11550.0,10237.0,4920.0,5876.0,36881.0
Varanasi,6905.0,16898.0,18238.0,12558.0,9716.0,64315.0
