district,PMAY Amount O/S,No PMAY O/S,PMAY Disbursed Current Year Amount under,PMAY Disbursed Current No Year under,PMAY Eligible Housing Amount O/S under Loan,Loan O/S under No Housing PMAY Eligible,Loan Rural Amount O/S Housing,Loan No Rural O/S Housing,(NPS) Loan Amount O/S Housing,No (NPS) Loan O/S Housing,(PS) Housing Amount O/S Loan,O/S Loan No (PS) Housing
East Garo Hills,8.14,1,0,0,8.14,1,80.37,8,1326.9,95,461.52,68
East Jaintia Hills,0,0,0,0,30.56,6,1521.55,85,1549.01,39,735.87,73
East Khasi Hills,1825.54,130,20,1,1577.69,117,9107.67,497,98455.57,4418,33095.42,10471
North Garo Hills,0,0,0,0,0,0,810.07,57,760.06,77,548.74,115
Ri Bhoi,375.73,29,0,0,361.4,29,24431.66,1191,23590.4,1590,8648.87,805
South Garo Hills,0,0,0,0,0,0,69.84,2,963.58,69,417.86,64
South West Garo Hills,0,0,0,0,0,0,1011.31,49,855.84,51,416.54,42
South West Khasi Hills,0,0,0,0,0,0,670.69,46,574.84,37,328.75,40
West Garo Hills,74.68,13,0,0,69.84,11,1629.64,151,14181.66,1011,4705.06,575
West Jaintia Hills,156.04,32,0,0,31.85,11,1243.07,92,3233.66,178,5105.35,2902
West Khasi Hills,195.37,28,0,0,188.93,27,356.52,34,563.71,46,1356.69,151
