district,Rabi Number Insurance (Others),Rabi insured PMFBY under Amount,under Farmers Rabi No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,covered Kharif No. under of PMFBY Farmers,Current Year Achievement Crop Amount Loan
East Garo Hills,0,0,0,0,0,0,35.98
East Jaintia Hills,0,0,0,0,62.17,103,344.19
East Khasi Hills,0,0,0,0,4.91,10,8551.42
North Garo Hills,0,0,0,0,0,0,47.53
Ri Bhoi,0,0,1,0,190.41,289,1805.44
South Garo Hills,0,0,0,0,6,12,45.1
West Garo Hills,0,0,2,0,0,0,854.55
West Jaintia Hills,0,0,0,0,31.01,44,3176.5
West Khasi Hills,0,29.64,38,0,183.68,339,3305.71
