district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of No student which Disb girl,Disb. Number,of tioned student which Amt Sanc- girl,Amt tioned Sanc-,of dent which No girl Sanctioned stu-,No Sanctioned
East Garo Hills,49.01,106.5,14,32,6.6,8.5,6,9,0,0,0,0
East Jaintia Hills,80.69,183.2,41,63,17.52,24.17,15,20,19.64,29.58,9,11
East Khasi Hills,7146.83,13911.53,1377,2621,2122.85,5254,493,902,3053.77,7388.33,294,555
North Garo Hills,25.96,61.69,8,21,6.14,12.43,5,10,1.82,3.75,2,3
Ri Bhoi,730.95,1126.53,258,368,157.79,212.96,95,135,110.71,207.2,46,67
South Garo Hills,22.53,38.08,9,12,3.86,4.65,4,5,0,0,0,0
West Garo Hills,542.47,1149.61,150,282,56.5,174.1,46,102,68.42,209.11,18,42
West Jaintia Hills,243.36,486.67,98,158,34.83,92.6,32,53,41.31,66.49,21,29
West Khasi Hills,237.8,334.69,103,144,54.86,56.16,32,39,52.42,48.67,10,14
