district,ST O/S Amt,ST O/S No,ST Disb Amt,ST Disb No,SC O/S Amt,SC O/S No,SC Disb Amt,SC Disb No
East Garo Hills,7161.52,4234,1085.72,469,118.15,32,39.18,9
East Jaintia Hills,27821.89,14650,5107.74,1762,428.38,143,173.27,34
East Khasi Hills,624773.34,154090,71361.42,24009,12476.6,4691,4504.48,1243
Eastern West Khasi Hills,50652.73,36387,9305.12,4629,4723.37,1222,2075.27,355
North Garo Hills,45931.17,15167,53823.55,2761,6191.79,1121,485.26,145
Ri Bhoi,38447.88,31512,9674.69,3831,4922.12,1158,1788.58,302
South Garo Hills,4374.2,3658,585.55,297,87.87,24,39.53,7
South West Garo Hills,8522.25,6317,1678.9,731,340.08,85,198.5,22
South West Khasi Hills,5774.76,4030,924.08,579,40.03,6,8.29,2
West Garo Hills,29395.88,15785,5104.83,1675,1326.63,1003,469.82,112
West Jaintia Hills,77012.66,26874,11823.61,3499,3655.73,1119,972.18,240
West Khasi Hills,20625.11,14086,3265.78,1420,298.45,64,116,14
