district,(NPS) Total Amt. Disb ACP,Disb Total (NPS) No. ACP,Others Amt. NPS,A/C NPS Others,under Amt. Loans Personal NPS,under A/C Loans Personal NPS,Amt. (NPS) Housing,A/C ing (NPS) Hous-,Amt. (NPS) cation Edu-,A/C (NPS) cation Edu-,Amt. (NPS) Credit Exp,A/C Exp (NPS) Credit,Amt. (NPS) MSME,No. (NPS) MSME,Amt. (NPS) culture Agri-,No. (NPS) culture Agri-
East Garo Hills,10180.28,1921,8577.14,1632,1270.45,262,331.02,24,0,0,0,0,0,0,1.67,3
East Jaintia Hills,12386.24,1666,10883.29,1408,1324.44,252,178.51,6,0,0,0,0,0,0,0,0
East Khasi Hills,277335.88,36569,225088.88,30966,32376.43,4738,16861.82,631,2568.14,209,0,0,408,15,32.61,10
North Garo Hills,7901.77,1174,7362.12,1083,288.98,66,250.67,25,0,0,0,0,0,0,0,0
Ri Bhoi,59103.34,6886,51844.44,6092,2911.8,493,4282.04,297,65.06,4,0,0,0,0,0,0
South Garo Hills,4253.39,614,3720.74,518,373.32,82,159.33,14,0,0,0,0,0,0,0,0
West Garo Hills,60387.86,6563,52897.89,5441,4978.24,934,2438.06,171,66.27,5,0,0,0,0,7.4,12
West Khasi Hills,5084.63,972,3548.54,643,1407.54,312,124.42,16,4.13,1,0,0,0,0,0,0
