district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY No. BURSED DIS- A/C,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,28.32,171.27,107,604.68,207,273.9,95,245.36,75
East Jaintia Hills,3.51,23.7,13,675.05,145,383.79,71,322.16,54
East Khasi Hills,16.49,1407.5,561,8536.91,1741,2578.38,454,2724.06,396
Eastern West Khasi Hills,6.69,30.11,21,449.83,115,134.97,20,191.57,19
North Garo Hills,23.19,165.68,101,714.48,251,318.87,113,99.91,31
Ri Bhoi,12.62,230.43,165,1826.21,573,565.68,212,518.24,149
South Garo Hills,26.82,200.8,129,748.58,225,346.27,72,199.21,27
South West Garo Hills,40.91,313.64,145,766.71,264,326.24,89,97.27,19
South West Khasi Hills,8.87,36.47,27,410.99,146,70,35,69.29,20
West Garo Hills,20.98,813.68,301,3877.79,942,2037.19,400,1274.9,235
West Jaintia Hills,8.13,225.95,105,2778.24,723,1070.57,279,810,178
West Khasi Hills,28.26,176.04,127,622.9,235,111.62,39,158.75,25
