district,Agri Total Amount O/S,O/S Agri No. Total,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Farm Loan Credit Amt Term,Term Farm Loan Credit No,Farm Amt Credit Crop,Farm Crop No Credit
East Garo Hills,6126.11,6208,141.41,174,3336.46,1842,604.33,981,2043.91,3211
East Jaintia Hills,6267.66,3417,144.72,124,3163.68,430,1883.72,1038,1075.54,1825
East Khasi Hills,144922.41,30503,4642.27,920,118082.17,1064,4054.41,3137,18143.56,25382
Eastern West Khasi Hills,6356.08,8488,19.8,30,1048.43,197,1138.42,625,4149.43,7636
North Garo Hills,5192.08,7374,197.46,40,1492.93,1913,502.09,358,2999.6,5063
Ri Bhoi,30965.87,39389,1184.31,471,5372.94,1944,2661.72,4653,21746.9,32321
South Garo Hills,3010.69,3785,183.38,22,1512.05,1359,320.5,366,994.76,2038
South West Garo Hills,5206.9,8079,30.47,12,2137.83,2617,761.35,1133,2277.25,4317
South West Khasi Hills,3138,3402,3.6,2,953.29,279,439.13,288,1741.98,2833
West Garo Hills,15492.09,20005,188.9,69,6174.27,3373,3377.93,7629,5750.99,8934
West Jaintia Hills,20324.99,7922,1256.62,262,13233.93,526,1618.89,1534,4215.55,5600
West Khasi Hills,7568.38,8904,94.52,184,1983.65,590,795.09,425,4695.12,7705
