district,Amt. USSD,A/C USSD,& Cards Amt. Credit) (Debit,& Cards Credit) A/C (Debit,IMPS Amt.,IMPS A/C,Code Bharat Amt. QR,Code Bharat A/C QR,BHIM Amt. Aadhaar,haar BHIM A/C Aad-,Amt. BHIM/UPI,A/c BHIM/UPI
East Garo Hills,847.29,30268,1905.58,42607,5844.04,36694,15.02,174,112.8,96,73856.23,6677596
East Jaintia Hills,2931.29,109953,6287.62,140989,389301.93,68997,168.54,1478,93.95,73,152492.22,6905423
East Khasi Hills,46549.1,1696305,677569.46,2483512,543747901.9,627702,7098.74,18272,172.54,1018,378272101.3,61306473
Eastern West Khasi Hills,3627.24,105404,2621.46,71247,2869.8,12052,0,0,1.94,10,29010.63,1671766
North Garo Hills,1376.18,45157,1441.98,39029,1948.44,13377,0.39,9,134.14,68,86527.62,9219411
Ri Bhoi,9366.82,316793,188387.13,278796,187580819.8,81126,184.26,1959,110.22,45,274776629.9,15604465
South Garo Hills,602.68,20326,529.44,13003,1495.82,7152,0,1,6.04,43,52538.64,4565887
South West Garo Hills,1090.88,36347,1135.3,26216,8915.2,55284,0.23,2,557.05,172,95674.85,7116868
South West Khasi Hills,3347.78,86963,2389.88,58828,1243.61,4265,6.24,72,2.26,10,23457.22,1511505
West Garo Hills,7292.82,286281,98181.63,225725,71996315.31,118127,219.8,1589,3631.12,782,68641381.35,31499309
West Jaintia Hills,5109.16,159459,11656.78,291719,205953.61,50706,79.15,542,122.37,243,132695.58,7589708
West Khasi Hills,4403.29,125192,5535.37,150431,4682.71,22219,3.88,25,5.25,10,58859.17,3637537
