District,cd_ratio
Alluri Sitharama Raju,118.0
Anakapalli,170.0
Anantapur,156.0
Annamayya,147.0
Bapatla,188.0
Chittoor,114.0
East Godavari,172.0
Eluru,184.0
Guntur,132.0
Kakinada,143.0
Konaseema,190.0
Krishna,193.0
Kurnool,152.0
Nandyal,183.0
Ntr,174.0
Palnadu,242.0
Parvathipuram Manyam,166.0
Prakasam,192.0
Spsr Nellore,172.0
Sri Sathya Sai,163.0
Srikakulam,146.0
Tirupati,82.0
