District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,39930.0,336705.0,79.0,
Aligarh,12583.0,85360.67,,
Ambedkar Nagar,9858.0,39145.06,,
Amethi,4745.0,22528.6,,
Auraiya,2710.0,14114.69,,
Ayodhya,14329.0,12429.81,,
Azamgarh,32514.0,102032.89,,
Bahraich,4233.0,25932.71,,
Ballia,7995.0,35688.56,,
Balrampur,4615.0,16573.33,,
Banda,3878.0,18654.0,32.0,
Barabanki,8255.0,52653.0,72.0,
Bareilly,22215.0,11012621.0,,
Basti,9442.0,39417.09,94.0,14.06
Bhadohi,10907.0,35428.14,,
Bijnor,299.0,57.29,200.0,25.51
Budaun,8193.0,26112.0,10.0,10.09
Bulandshahr,11845.0,59700.9,301.0,40.52
Deoria,10458.0,44330.0,21.0,
Etawah,172.0,33.5,16.43,
Farrukhabad,5342.0,18359.0,11.0,12.04
Fatehpur,11240.0,49527.43,,
Firozabad,7865.0,45062.78,,
Ghaziabad,24984.0,317377.06,,
Ghazipur,17341.0,57499.52,,
Gonda,9035.0,37200.38,102.0,14.07
Gorakhpur,26857.0,136628.0,72.0,
Hamirpur,2972.0,13400.01,,
Hathras,3494.0,21205.42,,
Jalaun,3072.0,18079.43,,
Jaunpur,21768.0,53.0,,
Jhansi,13108.0,62778.57,,
Kannauj,4323.0,20206.41,,
Kanpur Dehat,5360.0,40258.0,96.0,
Kanpur Nagar,36147.0,302064.0,66.0,
Kaushambi,6068.0,20223.91,,
Kheri,6992.0,32711.91,,
Kushi Nagar,7758.0,34893.24,,
Lalitpur,4618.0,1588212.0,,
Lucknow,50158.0,417394.0,54.0,
Mainpuri,3750.0,10691.0,52.0,
Mathura,9756.0,55159.0,14.0,
Meerut,20344.0,150369.96,,
Mirzapur,950.0,7478.33,,
Moradabad,1256.0,13125.93,,
Muzaffarnagar,11974.0,64485.38,,
Pilibhit,6142.0,2347077.0,,
Pratapgarh,10970.0,53110.27,,
Rae Bareli,15577.0,81353.041,,
Rampur,821.0,5347.05,,
Saharanpur,15257.0,53110.13,,
Sambhal,3880.0,14710.49,36.0,4.85
Sant Kabeer Nagar,5612.0,22307.27,71.0,10.46
Shahjahanpur,7776.0,33178.55,107.0,14.31
Shamli,93.0,17.05,74.0,8.89
Shravasti,1425.0,6065.54,18.0,1.44
Siddharth Nagar,86.0,15.25,50.0,5.44
Sitapur,8214.0,39839.79,84.0,14.09
Sonbhadra,6576.0,43936.08,99.0,15.74
Sultanpur,278.0,48.79,171.0,20.93
Unnao,663.0,5654.77,116.0,13.61
Varanasi,3752.0,35127.48,657.0,113.08
