District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Aligarh,2098.0,151.0,22.0,2271.0,41.96
Ambedkar Nagar,394.0,36.0,430.0,7.88,
Bahraich,760.0,87.0,10.0,857.0,15.2
Ballia,513.0,30.0,546.0,10.26,
Balrampur,387.0,16.0,19.0,422.0,7.74
Banda,562.0,50.0,621.0,11.24,
Bareilly,2267.0,140.0,30.0,2437.0,45.34
Basti,574.0,33.0,608.0,11.48,
Bijnor,1161.0,58.0,80.0,1299.0,23.22
Budaun,940.0,52.0,99.0,1091.0,18.8
Bulandshahr,752.0,72.0,46.0,870.0,15.04
Chandauli,271.0,15.0,289.0,5.42,
Chitrakoot,137.0,13.0,153.0,2.74,
Deoria,367.0,30.0,404.0,7.34,
Ghaziabad,1796.0,1913.0,,,
Ghazipur,642.0,680.0,,,
Gonda,688.0,795.0,,,
Gorakhpur,903.0,965.0,,,
Sitapur,1236.0,24.72,,,
Sonbhadra,345.0,6.9,,,
Sultanpur,949.0,1023.0,,,
Unnao,1006.0,1100.0,,,
