District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Aligarh,58949.0,200.72,196.15,18677.0,221.28,217.03,1864.0,155.63
Ayodhya,24594.0,83.47,82.81,134.62,130.27,955.0,81.09,77.52
Ballia,44999.0,157.33,155.97,14198.0,152.54,143.23,,
Balrampur,8432.0,29.06,28.71,1859.0,26.04,23.12,,
Banda,14128.0,47.89,47.48,4044.0,56.49,54.64,,
Barabanki,10583.0,33.63,33.14,3819.0,78.92,,,
Bareilly,43452.0,146.86,144.46,11564.0,133.77,130.56,92.97,
Basti,32311.0,109.59,108.85,9377.0,104.06,102.03,,
Bijnor,44211.0,168.01,164.89,137.39,,,,
Budaun,18190.0,64.43,62.83,4783.0,56.14,51.14,,
Chandauli,28907.0,101.6,,,,,,
Chitrakoot,13354.0,47.26,,,,,,
Etah,11857.0,37.14,36.81,,,,,
Etawah,11.31,47.27,,,,,,
Farrukhabad,5397.0,15.33,14.82,39.12,35.7,404.0,32.94,30.65
Fatehpur,9873.0,33.24,32.76,,,,,
Firozabad,25190.0,83.29,82.27,10570.0,103.51,,,
Ghaziabad,27113.0,79.77,78.26,,,,,
Gorakhpur,126035.0,443.17,,,,,,
Hapur,23576.0,83.74,82.7,,,,,
Hardoi,12915.0,43.66,,,,,,
Hathras,14265.0,52.22,,,,,,
Jaunpur,51361.0,189.35,171.54,15119.0,171.23,167.33,1075.0,89.25
Jhansi,35677.0,117.37,116.37,7363.0,87.1,81.861,686.0,55.66
Kannauj,7043.0,25.76,25.02,3655.0,55.64,51.69,510.0,39.36
Kanpur Dehat,10097.0,3030.0,47.72,46.22,332.0,26.34,13459.0,111.59
Kanpur Nagar,24915.0,71.45,70.17,10215.0,177.24,170.13,2556.0,214.15
Kaushambi,10515.0,37.1,36.45,5639.0,66.31,65.57,340.0,27.57
Kushi Nagar,93057.0,327.17,325.4,29498.0,249.96,243.85,59.76,55.84
Lalitpur,2662.0,7.68,7.39,1245.0,22.04,18.76,317.0,22.63
Lucknow,47474.0,135.42,133.86,13298.0,234.16,219.54,3671.0,301.72
Mainpuri,3575.0,5.6,5.27,2730.0,55.82,52.38,649.0,52.82
Mathura,35914.0,126.19,124.87,10331.0,104.41,102.31,845.0,68.17
Mau,21109.0,68.78,68.41,7541.0,102.36,99.73,625.0,50.12
Meerut,44580.0,157.72,156.36,18610.0,194.29,189.02,1617.0,131.01
Mirzapur,36528.0,128.78,114.96,12003.0,133.63,132.07,786.0,61.24
Muzaffarnagar,59051.0,209.39,156.99,150.38,893.0,73.67,70.28,77183.0
Pilibhit,4866.0,17.3,16.87,2149.0,40.12,39.18,440.0,33.95
Pratapgarh,16774.0,57.76,57.21,6226.0,77.32,75.89,465.0,37.84
Rampur,55.06,53.49,55.14,52.03,425.0,33.96,32.43,21023.0
Saharanpur,73104.0,257.75,254.36,236.5,230.9,881.0,70.58,68.13
Sambhal,11239.0,41.18,40.15,3351.0,35.39,32.88,299.0,23.34
Shamli,84.98,84.2,4833.0,,,,,
Shravasti,4368.0,12.42,12.38,1289.0,28.23,27.79,233.0,17.41
Siddharth Nagar,12583.0,40.05,39.55,4627.0,66.81,64.6,543.0,45.87
Sonbhadra,35041.0,117.33,115.91,11453.0,106.68,105.67,610.0,48.64
Sultanpur,21502.0,77.0,76.48,8846.0,109.23,107.46,755.0,63.85
Unnao,10551.0,35.77,35.11,3929.0,61.53,57.26,560.0,44.5
Varanasi,72643.0,243.11,241.46,26379.0,291.54,284.33,2362.0,232.86
